College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Electrical & Electronics Engineering (EEE),B.Tech,60,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Other Engineering Branches,M.Tech,27,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Civil Engineering,B.Tech,60,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Computer Science Engineering (CSE),B.Tech,60,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Electronics & Communication Engineering (ECE),B.Tech,60,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Mechanical Engineering,B.Tech,60,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Information Technology (IT),B.Tech,60,447,2010,Urban,Yes,Yes
1-44638414103,1-44638414103,U-0682,NADAR SARASWATHI COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Tamil Nadu,Theni,Theni,"VADAPUDUPATTI, ANNANJI (PO)",600048,11.136373,78.645709,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,Yes,,Tier 3,http://www.nadarsaraswathi.ac.in,info@nadarsaraswathi.ac.in,admissions@nadarsaraswathi.ac.in,placement@nadarsaraswathi.ac.in,+91-80-227-7816,Data Science,B.Tech,60,447,2010,Urban,Yes,Yes
1-44639973376,1-44639973376,U-0650,BHARATH NIKETAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Theni,Theni,"SRI GOWRI NAGAR,",600048,11.114606,78.660656,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.bharathniketan.ac.in,info@bharathniketan.ac.in,admissions@bharathniketan.ac.in,placement@bharathniketan.ac.in,+91-80-314-8440,Civil Engineering,Diploma,30,300,2017,Rural,Yes,Yes
1-44639973376,1-44639973376,U-0650,BHARATH NIKETAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Theni,Theni,"SRI GOWRI NAGAR,",600048,11.114606,78.660656,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.bharathniketan.ac.in,info@bharathniketan.ac.in,admissions@bharathniketan.ac.in,placement@bharathniketan.ac.in,+91-80-314-8440,Mechanical Engineering,Diploma,60,300,2017,Rural,Yes,Yes
1-44639973376,1-44639973376,U-0650,BHARATH NIKETAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Theni,Theni,"SRI GOWRI NAGAR,",600048,11.114606,78.660656,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.bharathniketan.ac.in,info@bharathniketan.ac.in,admissions@bharathniketan.ac.in,placement@bharathniketan.ac.in,+91-80-314-8440,Electrical & Electronics Engineering (EEE),Diploma,60,300,2017,Rural,Yes,Yes
1-44639973376,1-44639973376,U-0650,BHARATH NIKETAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Theni,Theni,"SRI GOWRI NAGAR,",600048,11.114606,78.660656,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.bharathniketan.ac.in,info@bharathniketan.ac.in,admissions@bharathniketan.ac.in,placement@bharathniketan.ac.in,+91-80-314-8440,Electronics & Communication Engineering (ECE),Diploma,60,300,2017,Rural,Yes,Yes
1-44639973376,1-44639973376,U-0650,BHARATH NIKETAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Theni,Theni,"SRI GOWRI NAGAR,",600048,11.114606,78.660656,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.bharathniketan.ac.in,info@bharathniketan.ac.in,admissions@bharathniketan.ac.in,placement@bharathniketan.ac.in,+91-80-314-8440,Computer Science Engineering (CSE),Diploma,60,300,2017,Rural,Yes,Yes
