College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638429539,1-44638429539,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"SEVVAPET, THIRUVALLUR DISTRICT.",600789,13.134125,79.915192,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Civil Engineering,Diploma,60,300,2005,Urban,Yes,Yes
1-44638429539,1-44638429539,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"SEVVAPET, THIRUVALLUR DISTRICT.",600789,13.134125,79.915192,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Mechanical Engineering,Diploma,60,300,2005,Urban,Yes,Yes
1-44638429539,1-44638429539,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"SEVVAPET, THIRUVALLUR DISTRICT.",600789,13.134125,79.915192,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electrical & Electronics Engineering (EEE),Diploma,60,300,2005,Urban,Yes,Yes
1-44638429539,1-44638429539,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"SEVVAPET, THIRUVALLUR DISTRICT.",600789,13.134125,79.915192,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electronics & Communication Engineering (ECE),Diploma,60,300,2005,Urban,Yes,Yes
1-44638429539,1-44638429539,U-0484,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"SEVVAPET, THIRUVALLUR DISTRICT.",600789,13.134125,79.915192,Government,"Directorate Of Technical Education, Tamil Nadu",Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Computer Science Engineering (CSE),Diploma,60,300,2005,Urban,Yes,Yes
1-44638538545,1-44638538545,U-0992,ST.PETER'S INSTITUTE OF HIGHER EDUCATION AND RESEARCH,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"TONAKELA CAMP ROAD, AVADI, CHENNAI",600789,13.154221,79.888385,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.stpetershighereducation.ac.in,info@stpetershighereducation.ac.in,admissions@stpetershighereducation.ac.in,placement@stpetershighereducation.ac.in,+91-80-275-9300,Mechanical Engineering,B.Tech,90,846,1999,Urban,No,Yes
1-44638538545,1-44638538545,U-0992,ST.PETER'S INSTITUTE OF HIGHER EDUCATION AND RESEARCH,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"TONAKELA CAMP ROAD, AVADI, CHENNAI",600789,13.154221,79.888385,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.stpetershighereducation.ac.in,info@stpetershighereducation.ac.in,admissions@stpetershighereducation.ac.in,placement@stpetershighereducation.ac.in,+91-80-275-9300,Civil Engineering,B.Tech,30,846,1999,Urban,No,Yes
1-44638538545,1-44638538545,U-0992,ST.PETER'S INSTITUTE OF HIGHER EDUCATION AND RESEARCH,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"TONAKELA CAMP ROAD, AVADI, CHENNAI",600789,13.154221,79.888385,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.stpetershighereducation.ac.in,info@stpetershighereducation.ac.in,admissions@stpetershighereducation.ac.in,placement@stpetershighereducation.ac.in,+91-80-275-9300,Other Engineering Branches,B.Tech,90,846,1999,Urban,No,Yes
1-44638538545,1-44638538545,U-0992,ST.PETER'S INSTITUTE OF HIGHER EDUCATION AND RESEARCH,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"TONAKELA CAMP ROAD, AVADI, CHENNAI",600789,13.154221,79.888385,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.stpetershighereducation.ac.in,info@stpetershighereducation.ac.in,admissions@stpetershighereducation.ac.in,placement@stpetershighereducation.ac.in,+91-80-275-9300,Computer Science Engineering (CSE),B.Tech,120,846,1999,Urban,No,Yes
1-44638538545,1-44638538545,U-0992,ST.PETER'S INSTITUTE OF HIGHER EDUCATION AND RESEARCH,Active,Tamil Nadu,Thiruvallur,Thiruvallur,"TONAKELA CAMP ROAD, AVADI, CHENNAI",600789,13.154221,79.888385,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.stpetershighereducation.ac.in,info@stpetershighereducation.ac.in,admissions@stpetershighereducation.ac.in,placement@stpetershighereducation.ac.in,+91-80-275-9300,Electronics & Communication Engineering (ECE),B.Tech,60,846,1999,Urban,No,Yes
