College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638303542,1-44638303542,U-0682,OASYS INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"TIRUCHIRAPPALLI-THURAIYUR MAIN ROAD, PULIVALAM  P.O MUSIRI TALUK",600614,10.783687,78.68782,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.oasys.ac.in,info@oasys.ac.in,admissions@oasys.ac.in,placement@oasys.ac.in,+91-80-553-0899,Computer Science Engineering (CSE),B.Tech,180,450,1997,Rural,Yes,Yes
1-44638303542,1-44638303542,U-0682,OASYS INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"TIRUCHIRAPPALLI-THURAIYUR MAIN ROAD, PULIVALAM  P.O MUSIRI TALUK",600614,10.783687,78.68782,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.oasys.ac.in,info@oasys.ac.in,admissions@oasys.ac.in,placement@oasys.ac.in,+91-80-553-0899,Electrical & Electronics Engineering (EEE),B.Tech,30,450,1997,Rural,Yes,Yes
1-44638303542,1-44638303542,U-0682,OASYS INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"TIRUCHIRAPPALLI-THURAIYUR MAIN ROAD, PULIVALAM  P.O MUSIRI TALUK",600614,10.783687,78.68782,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.oasys.ac.in,info@oasys.ac.in,admissions@oasys.ac.in,placement@oasys.ac.in,+91-80-553-0899,Electronics & Communication Engineering (ECE),B.Tech,60,450,1997,Rural,Yes,Yes
1-44638303542,1-44638303542,U-0682,OASYS INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"TIRUCHIRAPPALLI-THURAIYUR MAIN ROAD, PULIVALAM  P.O MUSIRI TALUK",600614,10.783687,78.68782,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.oasys.ac.in,info@oasys.ac.in,admissions@oasys.ac.in,placement@oasys.ac.in,+91-80-553-0899,Information Technology (IT),B.Tech,60,450,1997,Rural,Yes,Yes
1-44638303542,1-44638303542,U-0682,OASYS INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"TIRUCHIRAPPALLI-THURAIYUR MAIN ROAD, PULIVALAM  P.O MUSIRI TALUK",600614,10.783687,78.68782,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.oasys.ac.in,info@oasys.ac.in,admissions@oasys.ac.in,placement@oasys.ac.in,+91-80-553-0899,Data Science,B.Tech,60,450,1997,Rural,Yes,Yes
1-44638303542,1-44638303542,U-0682,OASYS INSTITUTE OF TECHNOLOGY,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,"TIRUCHIRAPPALLI-THURAIYUR MAIN ROAD, PULIVALAM  P.O MUSIRI TALUK",600614,10.783687,78.68782,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.oasys.ac.in,info@oasys.ac.in,admissions@oasys.ac.in,placement@oasys.ac.in,+91-80-553-0899,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,450,1997,Rural,Yes,Yes
1-44638260735,1-44638260735,U-0682,SRM TRP ENGINEERING COLLEGE,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,IRUNGALUR MANACHANALLUR TALUK,600614,10.779436,78.714055,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.srmtrp.ac.in,info@srmtrp.ac.in,admissions@srmtrp.ac.in,placement@srmtrp.ac.in,+91-80-374-8027,Computer Science Engineering (CSE),B.Tech,180,987,1992,Urban,Yes,Yes
1-44638260735,1-44638260735,U-0682,SRM TRP ENGINEERING COLLEGE,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,IRUNGALUR MANACHANALLUR TALUK,600614,10.779436,78.714055,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.srmtrp.ac.in,info@srmtrp.ac.in,admissions@srmtrp.ac.in,placement@srmtrp.ac.in,+91-80-374-8027,Civil Engineering,B.Tech,60,987,1992,Urban,Yes,Yes
1-44638260735,1-44638260735,U-0682,SRM TRP ENGINEERING COLLEGE,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,IRUNGALUR MANACHANALLUR TALUK,600614,10.779436,78.714055,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.srmtrp.ac.in,info@srmtrp.ac.in,admissions@srmtrp.ac.in,placement@srmtrp.ac.in,+91-80-374-8027,Electrical & Electronics Engineering (EEE),B.Tech,60,987,1992,Urban,Yes,Yes
1-44638260735,1-44638260735,U-0682,SRM TRP ENGINEERING COLLEGE,Active,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,IRUNGALUR MANACHANALLUR TALUK,600614,10.779436,78.714055,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.srmtrp.ac.in,info@srmtrp.ac.in,admissions@srmtrp.ac.in,placement@srmtrp.ac.in,+91-80-374-8027,Electronics & Communication Engineering (ECE),B.Tech,180,987,1992,Urban,Yes,Yes
