College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638294320,1-44638294320,U-0294,SARANG INSTITUTE OF POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"OPP IOCL BUNK, KUNIGAL ROAD, GULUR TUMKUR",560344,13.356665,77.107753,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.sarang.ac.in,info@sarang.ac.in,admissions@sarang.ac.in,placement@sarang.ac.in,+91-80-571-3960,Mechanical Engineering,Diploma,60,300,1989,Rural,Yes,Yes
1-44638294320,1-44638294320,U-0294,SARANG INSTITUTE OF POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"OPP IOCL BUNK, KUNIGAL ROAD, GULUR TUMKUR",560344,13.356665,77.107753,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.sarang.ac.in,info@sarang.ac.in,admissions@sarang.ac.in,placement@sarang.ac.in,+91-80-571-3960,Civil Engineering,Diploma,60,300,1989,Rural,Yes,Yes
1-44638294320,1-44638294320,U-0294,SARANG INSTITUTE OF POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"OPP IOCL BUNK, KUNIGAL ROAD, GULUR TUMKUR",560344,13.356665,77.107753,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.sarang.ac.in,info@sarang.ac.in,admissions@sarang.ac.in,placement@sarang.ac.in,+91-80-571-3960,Electrical & Electronics Engineering (EEE),Diploma,60,300,1989,Rural,Yes,Yes
1-44638294320,1-44638294320,U-0294,SARANG INSTITUTE OF POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"OPP IOCL BUNK, KUNIGAL ROAD, GULUR TUMKUR",560344,13.356665,77.107753,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.sarang.ac.in,info@sarang.ac.in,admissions@sarang.ac.in,placement@sarang.ac.in,+91-80-571-3960,Computer Science Engineering (CSE),Diploma,60,300,1989,Rural,Yes,Yes
1-44638294320,1-44638294320,U-0294,SARANG INSTITUTE OF POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"OPP IOCL BUNK, KUNIGAL ROAD, GULUR TUMKUR",560344,13.356665,77.107753,Private-Self Financing,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.sarang.ac.in,info@sarang.ac.in,admissions@sarang.ac.in,placement@sarang.ac.in,+91-80-571-3960,Electronics & Communication Engineering (ECE),Diploma,60,300,1989,Rural,Yes,Yes
1-44639425936,1-44639425936,U-0957,KEMPEGOWDA MEMORIAL POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,URDIGERE ROAD  BELAGUMBA TUMKUR 572104,572104,13.358465,77.09455,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 3,http://www.kempegowdamemorial.ac.in,info@kempegowdamemorial.ac.in,admissions@kempegowdamemorial.ac.in,placement@kempegowdamemorial.ac.in,+91-80-646-8819,Civil Engineering,Diploma,40,240,2001,Urban,Yes,Yes
1-44639425936,1-44639425936,U-0957,KEMPEGOWDA MEMORIAL POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,URDIGERE ROAD  BELAGUMBA TUMKUR 572104,572104,13.358465,77.09455,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 3,http://www.kempegowdamemorial.ac.in,info@kempegowdamemorial.ac.in,admissions@kempegowdamemorial.ac.in,placement@kempegowdamemorial.ac.in,+91-80-646-8819,Computer Science Engineering (CSE),Diploma,40,240,2001,Urban,Yes,Yes
1-44639425936,1-44639425936,U-0957,KEMPEGOWDA MEMORIAL POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,URDIGERE ROAD  BELAGUMBA TUMKUR 572104,572104,13.358465,77.09455,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 3,http://www.kempegowdamemorial.ac.in,info@kempegowdamemorial.ac.in,admissions@kempegowdamemorial.ac.in,placement@kempegowdamemorial.ac.in,+91-80-646-8819,Electronics & Communication Engineering (ECE),Diploma,60,240,2001,Urban,Yes,Yes
1-44639425936,1-44639425936,U-0957,KEMPEGOWDA MEMORIAL POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,URDIGERE ROAD  BELAGUMBA TUMKUR 572104,572104,13.358465,77.09455,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 3,http://www.kempegowdamemorial.ac.in,info@kempegowdamemorial.ac.in,admissions@kempegowdamemorial.ac.in,placement@kempegowdamemorial.ac.in,+91-80-646-8819,Electrical & Electronics Engineering (EEE),Diploma,40,240,2001,Urban,Yes,Yes
1-44639425936,1-44639425936,U-0957,KEMPEGOWDA MEMORIAL POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,URDIGERE ROAD  BELAGUMBA TUMKUR 572104,572104,13.358465,77.09455,Private-Self Financing,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 3,http://www.kempegowdamemorial.ac.in,info@kempegowdamemorial.ac.in,admissions@kempegowdamemorial.ac.in,placement@kempegowdamemorial.ac.in,+91-80-646-8819,Mechanical Engineering,Diploma,60,240,2001,Urban,Yes,Yes
1-44638817858,1-44638817858,U-0957,GOVT. POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"NEAR SILK FARM, NH-48,SIRA, TUMAKURU DIST, KARNATAKA STATE-572137",572137,13.330927,77.085332,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Civil Engineering,Diploma,60,300,2019,Urban,Yes,Yes
1-44638817858,1-44638817858,U-0957,GOVT. POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"NEAR SILK FARM, NH-48,SIRA, TUMAKURU DIST, KARNATAKA STATE-572137",572137,13.330927,77.085332,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Electrical & Electronics Engineering (EEE),Diploma,60,300,2019,Urban,Yes,Yes
1-44638817858,1-44638817858,U-0957,GOVT. POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"NEAR SILK FARM, NH-48,SIRA, TUMAKURU DIST, KARNATAKA STATE-572137",572137,13.330927,77.085332,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Mechanical Engineering,Diploma,60,300,2019,Urban,Yes,Yes
1-44638817858,1-44638817858,U-0957,GOVT. POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"NEAR SILK FARM, NH-48,SIRA, TUMAKURU DIST, KARNATAKA STATE-572137",572137,13.330927,77.085332,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Other Engineering Branches,Diploma,90,300,2019,Urban,Yes,Yes
1-44638817858,1-44638817858,U-0957,GOVT. POLYTECHNIC,Active,Karnataka,Tumkur,Tumkur,"NEAR SILK FARM, NH-48,SIRA, TUMAKURU DIST, KARNATAKA STATE-572137",572137,13.330927,77.085332,Government,"Department of Technical Education, Bangalore",Approved,Approved,A+,Yes,,Tier 2,http://www.govt.ac.in,info@govt.ac.in,admissions@govt.ac.in,placement@govt.ac.in,+91-80-491-8808,Computer Science Engineering (CSE),Diploma,30,300,2019,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Other Engineering Branches,M.Tech,81,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Electrical & Electronics Engineering (EEE),B.Tech,120,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Computer Science Engineering (CSE),B.Tech,180,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Electronics & Communication Engineering (ECE),B.Tech,240,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Information Technology (IT),M.Tech,9,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Civil Engineering,B.Tech,60,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Mechanical Engineering,B.Tech,60,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Information Technology (IT),B.Tech,120,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Other Engineering Branches,B.Tech,30,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Computer Science Engineering (CSE),M.Tech,18,1158,2006,Urban,Yes,Yes
1-44639540771,1-44639540771,U-0992,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION AGALKOTE,Active,Karnataka,Tumkur,Tumkur,MARALUR  TUMKUR,560344,13.345919,77.105288,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.srisiddharthaacademy.ac.in,info@srisiddharthaacademy.ac.in,admissions@srisiddharthaacademy.ac.in,placement@srisiddharthaacademy.ac.in,+91-80-120-6552,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,1158,2006,Urban,Yes,Yes
