College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638387209,1-44638387209,U-0343,SRI SAI INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,"MADUA DABRA, JASPUR DISTT- UDHAM SINGH NAGAR, UTTARAKHAND",248023,30.054965,79.004686,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,A+,No,,Tier 3,http://www.srisai.ac.in,info@srisai.ac.in,admissions@srisai.ac.in,placement@srisai.ac.in,+91-80-342-4802,Mechanical Engineering,Diploma,60,120,1999,Rural,Yes,No
1-44638387209,1-44638387209,U-0343,SRI SAI INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,"MADUA DABRA, JASPUR DISTT- UDHAM SINGH NAGAR, UTTARAKHAND",248023,30.054965,79.004686,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,A+,No,,Tier 3,http://www.srisai.ac.in,info@srisai.ac.in,admissions@srisai.ac.in,placement@srisai.ac.in,+91-80-342-4802,Civil Engineering,Diploma,30,120,1999,Rural,Yes,No
1-44638387209,1-44638387209,U-0343,SRI SAI INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,"MADUA DABRA, JASPUR DISTT- UDHAM SINGH NAGAR, UTTARAKHAND",248023,30.054965,79.004686,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,A+,No,,Tier 3,http://www.srisai.ac.in,info@srisai.ac.in,admissions@srisai.ac.in,placement@srisai.ac.in,+91-80-342-4802,Electrical Engineering,Diploma,30,120,1999,Rural,Yes,No
1-44638446925,1-44638446925,U-0678,GOVERNMENT POLYTECHNIC BAZPUR,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,SULTANPUR PATTI BAZPUR,248023,30.059698,79.032595,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.bazpur.ac.in,info@bazpur.ac.in,admissions@bazpur.ac.in,placement@bazpur.ac.in,+91-80-540-9749,Mechanical Engineering,Diploma,60,150,2010,Urban,Yes,Yes
1-44638446925,1-44638446925,U-0678,GOVERNMENT POLYTECHNIC BAZPUR,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,SULTANPUR PATTI BAZPUR,248023,30.059698,79.032595,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.bazpur.ac.in,info@bazpur.ac.in,admissions@bazpur.ac.in,placement@bazpur.ac.in,+91-80-540-9749,Civil Engineering,Diploma,60,150,2010,Urban,Yes,Yes
1-44638446925,1-44638446925,U-0678,GOVERNMENT POLYTECHNIC BAZPUR,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,SULTANPUR PATTI BAZPUR,248023,30.059698,79.032595,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.bazpur.ac.in,info@bazpur.ac.in,admissions@bazpur.ac.in,placement@bazpur.ac.in,+91-80-540-9749,Computer Science Engineering (CSE),Diploma,30,150,2010,Urban,Yes,Yes
1-44638113029,1-44638113029,U-0678,GOVT POLYTECHNIC KHATIMA,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,SUJIYA MOHLIYA KHATIMA(U.S.NAGAR) UTTRAKHAND,248023,30.04901,79.038485,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtkhatima.ac.in,info@govtkhatima.ac.in,admissions@govtkhatima.ac.in,placement@govtkhatima.ac.in,+91-80-092-6970,Civil Engineering,Diploma,54,168,1991,Urban,Yes,No
1-44638113029,1-44638113029,U-0678,GOVT POLYTECHNIC KHATIMA,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,SUJIYA MOHLIYA KHATIMA(U.S.NAGAR) UTTRAKHAND,248023,30.04901,79.038485,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtkhatima.ac.in,info@govtkhatima.ac.in,admissions@govtkhatima.ac.in,placement@govtkhatima.ac.in,+91-80-092-6970,Electrical Engineering,Diploma,54,168,1991,Urban,Yes,No
1-44638113029,1-44638113029,U-0678,GOVT POLYTECHNIC KHATIMA,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,SUJIYA MOHLIYA KHATIMA(U.S.NAGAR) UTTRAKHAND,248023,30.04901,79.038485,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.govtkhatima.ac.in,info@govtkhatima.ac.in,admissions@govtkhatima.ac.in,placement@govtkhatima.ac.in,+91-80-092-6970,Information Technology (IT),Diploma,60,168,1991,Urban,Yes,No
1-44639542625,1-44639542625,U-0343,RUDRAPUR INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Udham Singh Nagar,Udham Singh Nagar,"VILLAGE BHAGWANPUR,POST DANPUR, RUDRAPUR-KASHIPUR ROAD,",248023,30.079086,79.0041,Private-Self Financing,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,B,No,,Tier 3,http://www.rudrapur.ac.in,info@rudrapur.ac.in,admissions@rudrapur.ac.in,placement@rudrapur.ac.in,+91-80-354-1662,Mechanical Engineering,Diploma,120,300,2018,Urban,Yes,Yes
