College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638227775,1-44638227775,U-0957,GOVERNMENT TOOL ROOM AND TRAINING CENTRE UDUPI,Active,Karnataka,Udupi,Udupi,"K G ROAD, THENKABETTU POST,UPPOOR.",560376,13.358309,74.738859,Government,AUTONOMOUS,Approved,Approved,B,No,,Tier 3,http://www.toolroomtraining.ac.in,info@toolroomtraining.ac.in,admissions@toolroomtraining.ac.in,placement@toolroomtraining.ac.in,+91-80-569-0347,Other Engineering Branches,Diploma,120,180,1983,Rural,Yes,No
1-44638227775,1-44638227775,U-0957,GOVERNMENT TOOL ROOM AND TRAINING CENTRE UDUPI,Active,Karnataka,Udupi,Udupi,"K G ROAD, THENKABETTU POST,UPPOOR.",560376,13.358309,74.738859,Government,AUTONOMOUS,Approved,Approved,B,No,,Tier 3,http://www.toolroomtraining.ac.in,info@toolroomtraining.ac.in,admissions@toolroomtraining.ac.in,placement@toolroomtraining.ac.in,+91-80-569-0347,Mechanical Engineering,Diploma,60,180,1983,Rural,Yes,No
1-44638284618,1-44638284618,U-0375,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Karnataka,Udupi,Udupi,"VISHWOTHAMA NAGAR, BANTAKAL",560376,13.346256,74.723177,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.shrimadhwavadiraja.ac.in,info@shrimadhwavadiraja.ac.in,admissions@shrimadhwavadiraja.ac.in,placement@shrimadhwavadiraja.ac.in,+91-80-063-5014,Mechanical Engineering,B.Tech,60,480,1996,Urban,Yes,Yes
1-44638284618,1-44638284618,U-0375,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Karnataka,Udupi,Udupi,"VISHWOTHAMA NAGAR, BANTAKAL",560376,13.346256,74.723177,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.shrimadhwavadiraja.ac.in,info@shrimadhwavadiraja.ac.in,admissions@shrimadhwavadiraja.ac.in,placement@shrimadhwavadiraja.ac.in,+91-80-063-5014,Electronics & Communication Engineering (ECE),B.Tech,120,480,1996,Urban,Yes,Yes
1-44638284618,1-44638284618,U-0375,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Karnataka,Udupi,Udupi,"VISHWOTHAMA NAGAR, BANTAKAL",560376,13.346256,74.723177,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.shrimadhwavadiraja.ac.in,info@shrimadhwavadiraja.ac.in,admissions@shrimadhwavadiraja.ac.in,placement@shrimadhwavadiraja.ac.in,+91-80-063-5014,Computer Science Engineering (CSE),B.Tech,180,480,1996,Urban,Yes,Yes
1-44638284618,1-44638284618,U-0375,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Karnataka,Udupi,Udupi,"VISHWOTHAMA NAGAR, BANTAKAL",560376,13.346256,74.723177,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.shrimadhwavadiraja.ac.in,info@shrimadhwavadiraja.ac.in,admissions@shrimadhwavadiraja.ac.in,placement@shrimadhwavadiraja.ac.in,+91-80-063-5014,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,480,1996,Urban,Yes,Yes
1-44638284618,1-44638284618,U-0375,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Karnataka,Udupi,Udupi,"VISHWOTHAMA NAGAR, BANTAKAL",560376,13.346256,74.723177,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.shrimadhwavadiraja.ac.in,info@shrimadhwavadiraja.ac.in,admissions@shrimadhwavadiraja.ac.in,placement@shrimadhwavadiraja.ac.in,+91-80-063-5014,Data Science,B.Tech,60,480,1996,Urban,Yes,Yes
1-44637342665,1-44637342665,U-0992,MANIPAL ACADEMY OF HIGHER EDUCATION (OFF-CAMPUS CENTRE AT BENGALURU),Active,Karnataka,Udupi,Udupi,"MANIPAL ACADEMY OF HIGHER EDUCATION, (OFF-CAMPUS CENTRE AT BENGALURU), ADDRESS: GOVINDPURA VILLAGE, BSF CAMPUS, YELAHANKA, BENGALURU NORTH-560064, KARNATAKA",560064,13.322077,74.736023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.manipalacademyhigher.ac.in,info@manipalacademyhigher.ac.in,admissions@manipalacademyhigher.ac.in,placement@manipalacademyhigher.ac.in,+91-80-049-3913,Computer Science Engineering (CSE),B.Tech,1140,1410,2014,Urban,Yes,Yes
1-44637342665,1-44637342665,U-0992,MANIPAL ACADEMY OF HIGHER EDUCATION (OFF-CAMPUS CENTRE AT BENGALURU),Active,Karnataka,Udupi,Udupi,"MANIPAL ACADEMY OF HIGHER EDUCATION, (OFF-CAMPUS CENTRE AT BENGALURU), ADDRESS: GOVINDPURA VILLAGE, BSF CAMPUS, YELAHANKA, BENGALURU NORTH-560064, KARNATAKA",560064,13.322077,74.736023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.manipalacademyhigher.ac.in,info@manipalacademyhigher.ac.in,admissions@manipalacademyhigher.ac.in,placement@manipalacademyhigher.ac.in,+91-80-049-3913,Electronics & Communication Engineering (ECE),B.Tech,60,1410,2014,Urban,Yes,Yes
1-44637342665,1-44637342665,U-0992,MANIPAL ACADEMY OF HIGHER EDUCATION (OFF-CAMPUS CENTRE AT BENGALURU),Active,Karnataka,Udupi,Udupi,"MANIPAL ACADEMY OF HIGHER EDUCATION, (OFF-CAMPUS CENTRE AT BENGALURU), ADDRESS: GOVINDPURA VILLAGE, BSF CAMPUS, YELAHANKA, BENGALURU NORTH-560064, KARNATAKA",560064,13.322077,74.736023,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.manipalacademyhigher.ac.in,info@manipalacademyhigher.ac.in,admissions@manipalacademyhigher.ac.in,placement@manipalacademyhigher.ac.in,+91-80-049-3913,Other Engineering Branches,B.Tech,60,1410,2014,Urban,Yes,Yes
