College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Civil Engineering,Diploma,45,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Other Engineering Branches,Diploma,180,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Chemical Engineering,Diploma,60,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Mechanical Engineering,Diploma,105,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Electrical Engineering,Diploma,120,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Computer Science Engineering (CSE),Diploma,60,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Information Technology (IT),Diploma,60,690,1986,Urban,Yes,Yes
1-44639954763,1-44639954763,U-0441,"UJJAIN POLYTECHNIC COLLEGE, UJJAIN",Active,Madhya Pradesh,Ujjain,Ujjain,"DEWAS ROAD , UJJAIN",452341,23.169079,75.784281,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.ujjainujjain.ac.in,info@ujjainujjain.ac.in,admissions@ujjainujjain.ac.in,placement@ujjainujjain.ac.in,+91-80-548-5925,Electronics & Communication Engineering (ECE),Diploma,60,690,1986,Urban,Yes,Yes
1-44640676958,1-44640676958,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Ujjain,Ujjain,VIKRAM UNIVERSITY UJJAIN,452341,23.179169,75.781347,State Government University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Electronics & Communication Engineering (ECE),B.Tech,54,390,1987,Urban,Yes,Yes
1-44640676958,1-44640676958,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Ujjain,Ujjain,VIKRAM UNIVERSITY UJJAIN,452341,23.179169,75.781347,State Government University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Civil Engineering,B.Tech,54,390,1987,Urban,Yes,Yes
1-44640676958,1-44640676958,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Ujjain,Ujjain,VIKRAM UNIVERSITY UJJAIN,452341,23.179169,75.781347,State Government University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Electrical Engineering,B.Tech,54,390,1987,Urban,Yes,Yes
1-44640676958,1-44640676958,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Madhya Pradesh,Ujjain,Ujjain,VIKRAM UNIVERSITY UJJAIN,452341,23.179169,75.781347,State Government University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Mechanical Engineering,B.Tech,54,390,1987,Urban,Yes,Yes
