College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640159239,1-44640159239,U-0675,K.C.POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"PANDOGA UPARLA, TEH. & DISTT-  UNA(H.P)",170714,31.094572,77.167232,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.kcpolytechnic.ac.in,info@kcpolytechnic.ac.in,admissions@kcpolytechnic.ac.in,placement@kcpolytechnic.ac.in,+91-80-409-8904,Civil Engineering,Diploma,60,210,1991,Rural,Yes,Yes
1-44640159239,1-44640159239,U-0675,K.C.POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"PANDOGA UPARLA, TEH. & DISTT-  UNA(H.P)",170714,31.094572,77.167232,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.kcpolytechnic.ac.in,info@kcpolytechnic.ac.in,admissions@kcpolytechnic.ac.in,placement@kcpolytechnic.ac.in,+91-80-409-8904,Computer Science Engineering (CSE),Diploma,30,210,1991,Rural,Yes,Yes
1-44640159239,1-44640159239,U-0675,K.C.POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"PANDOGA UPARLA, TEH. & DISTT-  UNA(H.P)",170714,31.094572,77.167232,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.kcpolytechnic.ac.in,info@kcpolytechnic.ac.in,admissions@kcpolytechnic.ac.in,placement@kcpolytechnic.ac.in,+91-80-409-8904,Electrical Engineering,Diploma,60,210,1991,Rural,Yes,Yes
1-44640159239,1-44640159239,U-0675,K.C.POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"PANDOGA UPARLA, TEH. & DISTT-  UNA(H.P)",170714,31.094572,77.167232,Private-Self Financing,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.kcpolytechnic.ac.in,info@kcpolytechnic.ac.in,admissions@kcpolytechnic.ac.in,placement@kcpolytechnic.ac.in,+91-80-409-8904,Mechanical Engineering,Diploma,60,210,1991,Rural,Yes,Yes
1-44640367476,1-44640367476,U-0675,DR. B.R. AMBEDKAR GOVT. POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"AMBOTA, DISTT. UNA (HP) PIN 177205",177205,31.086568,77.165009,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-074-1450,Computer Science Engineering (CSE),Diploma,60,160,1989,Urban,Yes,Yes
1-44640367476,1-44640367476,U-0675,DR. B.R. AMBEDKAR GOVT. POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"AMBOTA, DISTT. UNA (HP) PIN 177205",177205,31.086568,77.165009,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-074-1450,Electronics & Communication Engineering (ECE),Diploma,40,160,1989,Urban,Yes,Yes
1-44640367476,1-44640367476,U-0675,DR. B.R. AMBEDKAR GOVT. POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"AMBOTA, DISTT. UNA (HP) PIN 177205",177205,31.086568,77.165009,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-074-1450,Civil Engineering,Diploma,40,160,1989,Urban,Yes,Yes
1-44640367476,1-44640367476,U-0675,DR. B.R. AMBEDKAR GOVT. POLYTECHNIC,Active,Himachal Pradesh,Una,Una,"AMBOTA, DISTT. UNA (HP) PIN 177205",177205,31.086568,77.165009,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.drbrambedkar.ac.in,info@drbrambedkar.ac.in,admissions@drbrambedkar.ac.in,placement@drbrambedkar.ac.in,+91-80-074-1450,Mechanical Engineering,Diploma,20,160,1989,Urban,Yes,Yes
1-44643090485,1-44643090485,U-0977,K.C.GROUP OF RESEARCH & PROFESSIONAL INSTITITUES PANDOGA,Active,Himachal Pradesh,Una,Una,"V.P.O PANDOGA UPARLA TEH & DIST. UNA, HIMACHAL PRADESH",170714,31.123014,77.18205,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 3,http://www.kcgroupresearchprofessional.ac.in,info@kcgroupresearchprofessional.ac.in,admissions@kcgroupresearchprofessional.ac.in,placement@kcgroupresearchprofessional.ac.in,+91-80-602-8087,Mechanical Engineering,B.Tech,60,210,1980,Urban,Yes,Yes
1-44643090485,1-44643090485,U-0977,K.C.GROUP OF RESEARCH & PROFESSIONAL INSTITITUES PANDOGA,Active,Himachal Pradesh,Una,Una,"V.P.O PANDOGA UPARLA TEH & DIST. UNA, HIMACHAL PRADESH",170714,31.123014,77.18205,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 3,http://www.kcgroupresearchprofessional.ac.in,info@kcgroupresearchprofessional.ac.in,admissions@kcgroupresearchprofessional.ac.in,placement@kcgroupresearchprofessional.ac.in,+91-80-602-8087,Electrical Engineering,B.Tech,30,210,1980,Urban,Yes,Yes
1-44643090485,1-44643090485,U-0977,K.C.GROUP OF RESEARCH & PROFESSIONAL INSTITITUES PANDOGA,Active,Himachal Pradesh,Una,Una,"V.P.O PANDOGA UPARLA TEH & DIST. UNA, HIMACHAL PRADESH",170714,31.123014,77.18205,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 3,http://www.kcgroupresearchprofessional.ac.in,info@kcgroupresearchprofessional.ac.in,admissions@kcgroupresearchprofessional.ac.in,placement@kcgroupresearchprofessional.ac.in,+91-80-602-8087,Civil Engineering,B.Tech,60,210,1980,Urban,Yes,Yes
1-44643090485,1-44643090485,U-0977,K.C.GROUP OF RESEARCH & PROFESSIONAL INSTITITUES PANDOGA,Active,Himachal Pradesh,Una,Una,"V.P.O PANDOGA UPARLA TEH & DIST. UNA, HIMACHAL PRADESH",170714,31.123014,77.18205,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,A,No,,Tier 3,http://www.kcgroupresearchprofessional.ac.in,info@kcgroupresearchprofessional.ac.in,admissions@kcgroupresearchprofessional.ac.in,placement@kcgroupresearchprofessional.ac.in,+91-80-602-8087,Computer Science Engineering (CSE),B.Tech,60,210,1980,Urban,Yes,Yes
