College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Civil Engineering,B.Tech,30,420,1993,Urban,Yes,Yes
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Computer Science Engineering (CSE),B.Tech,150,420,1993,Urban,Yes,Yes
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Electrical Engineering,B.Tech,30,420,1993,Urban,Yes,Yes
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Mechanical Engineering,B.Tech,30,420,1993,Urban,Yes,Yes
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Mechanical Engineering,Diploma,60,420,1993,Urban,Yes,Yes
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Civil Engineering,Diploma,60,420,1993,Urban,Yes,Yes
1-44638434195,1-44638434195,U-0164,DR. VIRENDRA SWARUP MEMORIAL TRUST GROUP OF INSTITUTION,Active,Uttar Pradesh,Unnao,Unnao,"RAGENDRA SWARUP KNOWLEDGE CITY, LUCKNOW KANPUR NATIONAL HIGHWAY 25, POLE NO. 70-71, KADER PATARI, UNNAO",201653,26.849932,80.94626,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.drvirendraswarup.ac.in,info@drvirendraswarup.ac.in,admissions@drvirendraswarup.ac.in,placement@drvirendraswarup.ac.in,+91-80-974-4256,Electrical Engineering,Diploma,60,420,1993,Urban,Yes,Yes
1-44638420391,1-44638420391,U-0449,GOVERNMENT POLYTECHNIC BIGHAPUR UNNAO,Active,Uttar Pradesh,Unnao,Unnao,MAANPUR BLOCK BEEGHAUR,201653,26.858848,80.952904,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.bighapurunnao.ac.in,info@bighapurunnao.ac.in,admissions@bighapurunnao.ac.in,placement@bighapurunnao.ac.in,+91-80-348-3690,Computer Science Engineering (CSE),Diploma,60,180,2003,Urban,Yes,Yes
1-44638420391,1-44638420391,U-0449,GOVERNMENT POLYTECHNIC BIGHAPUR UNNAO,Active,Uttar Pradesh,Unnao,Unnao,MAANPUR BLOCK BEEGHAUR,201653,26.858848,80.952904,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.bighapurunnao.ac.in,info@bighapurunnao.ac.in,admissions@bighapurunnao.ac.in,placement@bighapurunnao.ac.in,+91-80-348-3690,Other Engineering Branches,Diploma,60,180,2003,Urban,Yes,Yes
1-44638420391,1-44638420391,U-0449,GOVERNMENT POLYTECHNIC BIGHAPUR UNNAO,Active,Uttar Pradesh,Unnao,Unnao,MAANPUR BLOCK BEEGHAUR,201653,26.858848,80.952904,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.bighapurunnao.ac.in,info@bighapurunnao.ac.in,admissions@bighapurunnao.ac.in,placement@bighapurunnao.ac.in,+91-80-348-3690,Mechanical Engineering,Diploma,60,180,2003,Urban,Yes,Yes
