College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Civil Engineering,B.Tech,60,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Computer Science Engineering (CSE),B.Tech,60,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Information Technology (IT),B.Tech,60,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Mechanical Engineering,B.Tech,60,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Electronics & Communication Engineering (ECE),B.Tech,30,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Mechanical Engineering,Diploma,120,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Civil Engineering,Diploma,60,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Electrical Engineering,Diploma,60,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Automobile Engineering,B.Tech,30,660,1982,Urban,Yes,Yes
1-44638089876,1-44638089876,U-0183,"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM",Active,Gujarat,Valsad,Valsad,LAXMI VIDYAPEETH P. B. NO. 15 SARIGAM P. O. VALSAD - 396155,396155,20.588466,72.945321,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.laxmisarigam.ac.in,info@laxmisarigam.ac.in,admissions@laxmisarigam.ac.in,placement@laxmisarigam.ac.in,+91-80-388-6535,Electrical Engineering,B.Tech,60,660,1982,Urban,Yes,Yes
