College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638362470,1-44638362470,U-0339,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY,Active,Uttar Pradesh,Varanasi,Varanasi,"CIPET, CHUNAR ROAD, KARSARA, NO. 828 & 821, VILL- KARSARA, TEHSIL- RAJA TALAB, VARANASI, UTTAR PRADESH, PIN- 221011",221011,25.31741,83.006315,Government,NONE,Approved,Approved,A+,Yes,,Tier 2,http://www.petrochemicals.ac.in,info@petrochemicals.ac.in,admissions@petrochemicals.ac.in,placement@petrochemicals.ac.in,+91-80-830-8864,Other Engineering Branches,Diploma,120,120,1987,Urban,Yes,Yes
1-44638094336,1-44638094336,U-0449,DR VIJAY INSTITUTE OF EDUCATION AND TECHNOLOGY,Active,Uttar Pradesh,Varanasi,Varanasi,"VILLAGE- BHANDAHA KALA, POST- KAITHI, NH-29, VARANASI",201016,25.299398,83.017674,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.drvijayeducation.ac.in,info@drvijayeducation.ac.in,admissions@drvijayeducation.ac.in,placement@drvijayeducation.ac.in,+91-80-075-4121,Mechanical Engineering,Diploma,120,300,1992,Urban,Yes,Yes
1-44638094336,1-44638094336,U-0449,DR VIJAY INSTITUTE OF EDUCATION AND TECHNOLOGY,Active,Uttar Pradesh,Varanasi,Varanasi,"VILLAGE- BHANDAHA KALA, POST- KAITHI, NH-29, VARANASI",201016,25.299398,83.017674,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.drvijayeducation.ac.in,info@drvijayeducation.ac.in,admissions@drvijayeducation.ac.in,placement@drvijayeducation.ac.in,+91-80-075-4121,Civil Engineering,Diploma,120,300,1992,Urban,Yes,Yes
1-44638094336,1-44638094336,U-0449,DR VIJAY INSTITUTE OF EDUCATION AND TECHNOLOGY,Active,Uttar Pradesh,Varanasi,Varanasi,"VILLAGE- BHANDAHA KALA, POST- KAITHI, NH-29, VARANASI",201016,25.299398,83.017674,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.drvijayeducation.ac.in,info@drvijayeducation.ac.in,admissions@drvijayeducation.ac.in,placement@drvijayeducation.ac.in,+91-80-075-4121,Electrical Engineering,Diploma,60,300,1992,Urban,Yes,Yes
1-44638136880,1-44638136880,U-0164,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Varanasi,Varanasi,"AKTHA,SARNATH,VARANASI.",201016,25.303089,83.02175,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.ashokamanagement.ac.in,info@ashokamanagement.ac.in,admissions@ashokamanagement.ac.in,placement@ashokamanagement.ac.in,+91-80-230-2435,Civil Engineering,B.Tech,30,420,1983,Rural,Yes,No
1-44638136880,1-44638136880,U-0164,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Varanasi,Varanasi,"AKTHA,SARNATH,VARANASI.",201016,25.303089,83.02175,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.ashokamanagement.ac.in,info@ashokamanagement.ac.in,admissions@ashokamanagement.ac.in,placement@ashokamanagement.ac.in,+91-80-230-2435,Mechanical Engineering,B.Tech,30,420,1983,Rural,Yes,No
1-44638136880,1-44638136880,U-0164,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Varanasi,Varanasi,"AKTHA,SARNATH,VARANASI.",201016,25.303089,83.02175,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.ashokamanagement.ac.in,info@ashokamanagement.ac.in,admissions@ashokamanagement.ac.in,placement@ashokamanagement.ac.in,+91-80-230-2435,Electrical Engineering,B.Tech,30,420,1983,Rural,Yes,No
1-44638136880,1-44638136880,U-0164,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Varanasi,Varanasi,"AKTHA,SARNATH,VARANASI.",201016,25.303089,83.02175,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.ashokamanagement.ac.in,info@ashokamanagement.ac.in,admissions@ashokamanagement.ac.in,placement@ashokamanagement.ac.in,+91-80-230-2435,Electronics & Communication Engineering (ECE),B.Tech,30,420,1983,Rural,Yes,No
1-44638136880,1-44638136880,U-0164,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Varanasi,Varanasi,"AKTHA,SARNATH,VARANASI.",201016,25.303089,83.02175,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.ashokamanagement.ac.in,info@ashokamanagement.ac.in,admissions@ashokamanagement.ac.in,placement@ashokamanagement.ac.in,+91-80-230-2435,Computer Science Engineering (CSE),B.Tech,120,420,1983,Rural,Yes,No
1-44638136880,1-44638136880,U-0164,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Varanasi,Varanasi,"AKTHA,SARNATH,VARANASI.",201016,25.303089,83.02175,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.ashokamanagement.ac.in,info@ashokamanagement.ac.in,admissions@ashokamanagement.ac.in,placement@ashokamanagement.ac.in,+91-80-230-2435,Biotechnology,B.Tech,60,420,1983,Rural,Yes,No
