College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638363904,1-44638363904,U-0062,GOVERNMENT POLYTECHNIC CHODAVARAM,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"VENKANNAPALEM, CHODAVARAM-531023",531023,17.668337,83.205769,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.chodavaram.ac.in,info@chodavaram.ac.in,admissions@chodavaram.ac.in,placement@chodavaram.ac.in,+91-80-064-4654,Computer Science Engineering (CSE),Diploma,60,120,2008,Urban,Yes,No
1-44638363904,1-44638363904,U-0062,GOVERNMENT POLYTECHNIC CHODAVARAM,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"VENKANNAPALEM, CHODAVARAM-531023",531023,17.668337,83.205769,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B++,Yes,,Tier 3,http://www.chodavaram.ac.in,info@chodavaram.ac.in,admissions@chodavaram.ac.in,placement@chodavaram.ac.in,+91-80-064-4654,Electronics & Communication Engineering (ECE),Diploma,60,120,2008,Urban,Yes,No
1-44638134753,1-44638134753,U-0062,ALWARDAS POLYTECHNIC,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"124 PART, VEPAGUNTA, RRVPURAM, GOPALAPATNAM, VISAKHAPATNAM",500391,17.677826,83.198684,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.alwardas.ac.in,info@alwardas.ac.in,admissions@alwardas.ac.in,placement@alwardas.ac.in,+91-80-462-4385,Mechanical Engineering,Diploma,60,360,1991,Urban,Yes,Yes
1-44638134753,1-44638134753,U-0062,ALWARDAS POLYTECHNIC,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"124 PART, VEPAGUNTA, RRVPURAM, GOPALAPATNAM, VISAKHAPATNAM",500391,17.677826,83.198684,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.alwardas.ac.in,info@alwardas.ac.in,admissions@alwardas.ac.in,placement@alwardas.ac.in,+91-80-462-4385,Electrical & Electronics Engineering (EEE),Diploma,60,360,1991,Urban,Yes,Yes
1-44638134753,1-44638134753,U-0062,ALWARDAS POLYTECHNIC,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"124 PART, VEPAGUNTA, RRVPURAM, GOPALAPATNAM, VISAKHAPATNAM",500391,17.677826,83.198684,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.alwardas.ac.in,info@alwardas.ac.in,admissions@alwardas.ac.in,placement@alwardas.ac.in,+91-80-462-4385,Electronics & Communication Engineering (ECE),Diploma,90,360,1991,Urban,Yes,Yes
1-44638134753,1-44638134753,U-0062,ALWARDAS POLYTECHNIC,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"124 PART, VEPAGUNTA, RRVPURAM, GOPALAPATNAM, VISAKHAPATNAM",500391,17.677826,83.198684,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.alwardas.ac.in,info@alwardas.ac.in,admissions@alwardas.ac.in,placement@alwardas.ac.in,+91-80-462-4385,Computer Science Engineering (CSE),Diploma,120,360,1991,Urban,Yes,Yes
1-44638134753,1-44638134753,U-0062,ALWARDAS POLYTECHNIC,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,"124 PART, VEPAGUNTA, RRVPURAM, GOPALAPATNAM, VISAKHAPATNAM",500391,17.677826,83.198684,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.alwardas.ac.in,info@alwardas.ac.in,admissions@alwardas.ac.in,placement@alwardas.ac.in,+91-80-462-4385,Civil Engineering,Diploma,30,360,1991,Urban,Yes,Yes
1-44638724290,1-44638724290,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,GANDHI NAGAR RUSHIKONDA,500391,17.692857,83.211727,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-092-8980,Computer Science Engineering (CSE),B.Tech,870,1974,1982,Rural,Yes,Yes
1-44638724290,1-44638724290,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,GANDHI NAGAR RUSHIKONDA,500391,17.692857,83.211727,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-092-8980,Biotechnology,B.Tech,60,1974,1982,Rural,Yes,Yes
1-44638724290,1-44638724290,U-0992,GANDHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT GITAM VISAKHAPATNAM,Active,Andhra Pradesh,Visakhapatnam,Visakhapatnam,GANDHI NAGAR RUSHIKONDA,500391,17.692857,83.211727,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.gandhimanagementgitam.ac.in,info@gandhimanagementgitam.ac.in,admissions@gandhimanagementgitam.ac.in,placement@gandhimanagementgitam.ac.in,+91-80-092-8980,Electronics & Communication Engineering (ECE),B.Tech,180,1974,1982,Rural,Yes,Yes
