College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638363375,1-44638363375,U-0062,ASK COLLEGE OF TECHNOLOGY AND MANAGEMENT,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,KOTHURU VILLAGE ANAKAPALLE MANDAL ANAKAPALLE VISAKHA DIST. ANDHRA PRADESH 531001,531001,15.927174,79.750304,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,Not Accredited,No,,Tier 3,http://www.askmanagement.ac.in,info@askmanagement.ac.in,admissions@askmanagement.ac.in,placement@askmanagement.ac.in,+91-80-437-5617,Civil Engineering,Diploma,60,240,2006,Urban,Yes,Yes
1-44638363375,1-44638363375,U-0062,ASK COLLEGE OF TECHNOLOGY AND MANAGEMENT,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,KOTHURU VILLAGE ANAKAPALLE MANDAL ANAKAPALLE VISAKHA DIST. ANDHRA PRADESH 531001,531001,15.927174,79.750304,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,Not Accredited,No,,Tier 3,http://www.askmanagement.ac.in,info@askmanagement.ac.in,admissions@askmanagement.ac.in,placement@askmanagement.ac.in,+91-80-437-5617,Mechanical Engineering,Diploma,60,240,2006,Urban,Yes,Yes
1-44638363375,1-44638363375,U-0062,ASK COLLEGE OF TECHNOLOGY AND MANAGEMENT,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,KOTHURU VILLAGE ANAKAPALLE MANDAL ANAKAPALLE VISAKHA DIST. ANDHRA PRADESH 531001,531001,15.927174,79.750304,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,Not Accredited,No,,Tier 3,http://www.askmanagement.ac.in,info@askmanagement.ac.in,admissions@askmanagement.ac.in,placement@askmanagement.ac.in,+91-80-437-5617,Computer Science Engineering (CSE),Diploma,60,240,2006,Urban,Yes,Yes
1-44638363375,1-44638363375,U-0062,ASK COLLEGE OF TECHNOLOGY AND MANAGEMENT,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,KOTHURU VILLAGE ANAKAPALLE MANDAL ANAKAPALLE VISAKHA DIST. ANDHRA PRADESH 531001,531001,15.927174,79.750304,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,Not Accredited,No,,Tier 3,http://www.askmanagement.ac.in,info@askmanagement.ac.in,admissions@askmanagement.ac.in,placement@askmanagement.ac.in,+91-80-437-5617,Electronics & Communication Engineering (ECE),Diploma,60,240,2006,Urban,Yes,Yes
1-44638328701,1-44638328701,U-0545,DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,"SURVEY NO 44,D.NO 52-14-75 RESAPUVANIPALEM VISAKHAPATNAM PIN CODE 530013",530013,15.918397,79.725512,Private-Self Financing,"Andhra University, Visakhapatnam",Approved,Approved,B+,No,,Tier 3,http://www.drlankapallibullayya.ac.in,info@drlankapallibullayya.ac.in,admissions@drlankapallibullayya.ac.in,placement@drlankapallibullayya.ac.in,+91-80-069-3923,Computer Science Engineering (CSE),B.Tech,120,360,2010,Rural,Yes,Yes
1-44638328701,1-44638328701,U-0545,DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,"SURVEY NO 44,D.NO 52-14-75 RESAPUVANIPALEM VISAKHAPATNAM PIN CODE 530013",530013,15.918397,79.725512,Private-Self Financing,"Andhra University, Visakhapatnam",Approved,Approved,B+,No,,Tier 3,http://www.drlankapallibullayya.ac.in,info@drlankapallibullayya.ac.in,admissions@drlankapallibullayya.ac.in,placement@drlankapallibullayya.ac.in,+91-80-069-3923,Electronics & Communication Engineering (ECE),B.Tech,120,360,2010,Rural,Yes,Yes
1-44638328701,1-44638328701,U-0545,DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,"SURVEY NO 44,D.NO 52-14-75 RESAPUVANIPALEM VISAKHAPATNAM PIN CODE 530013",530013,15.918397,79.725512,Private-Self Financing,"Andhra University, Visakhapatnam",Approved,Approved,B+,No,,Tier 3,http://www.drlankapallibullayya.ac.in,info@drlankapallibullayya.ac.in,admissions@drlankapallibullayya.ac.in,placement@drlankapallibullayya.ac.in,+91-80-069-3923,Electrical & Electronics Engineering (EEE),B.Tech,60,360,2010,Rural,Yes,Yes
1-44638328701,1-44638328701,U-0545,DR LANKAPALLI BULLAYYA COLLEGE OF ENGINEERING,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,"SURVEY NO 44,D.NO 52-14-75 RESAPUVANIPALEM VISAKHAPATNAM PIN CODE 530013",530013,15.918397,79.725512,Private-Self Financing,"Andhra University, Visakhapatnam",Approved,Approved,B+,No,,Tier 3,http://www.drlankapallibullayya.ac.in,info@drlankapallibullayya.ac.in,admissions@drlankapallibullayya.ac.in,placement@drlankapallibullayya.ac.in,+91-80-069-3923,Civil Engineering,B.Tech,60,360,2010,Rural,Yes,Yes
1-44638601325,1-44638601325,U-0823,NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,SONTYAM (VILLAGE) ANANDAPURAM (MANDAL),500100,15.92825,79.732834,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B++,No,,Tier 3,http://www.nadimpallisatyanarayanaraju.ac.in,info@nadimpallisatyanarayanaraju.ac.in,admissions@nadimpallisatyanarayanaraju.ac.in,placement@nadimpallisatyanarayanaraju.ac.in,+91-80-482-6834,Civil Engineering,B.Tech,30,1158,1987,Urban,No,Yes
1-44638601325,1-44638601325,U-0823,NADIMPALLI SATYANARAYANA RAJU INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Vishakhapatnam,Vishakhapatnam,SONTYAM (VILLAGE) ANANDAPURAM (MANDAL),500100,15.92825,79.732834,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B++,No,,Tier 3,http://www.nadimpallisatyanarayanaraju.ac.in,info@nadimpallisatyanarayanaraju.ac.in,admissions@nadimpallisatyanarayanaraju.ac.in,placement@nadimpallisatyanarayanaraju.ac.in,+91-80-482-6834,Other Engineering Branches,M.Tech,24,1158,1987,Urban,No,Yes
