College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Mechanical Engineering,B.Tech,60,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Civil Engineering,B.Tech,30,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Computer Science Engineering (CSE),B.Tech,120,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Other Engineering Branches,M.Tech,54,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Mechanical Engineering,Diploma,60,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Civil Engineering,Diploma,30,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Electrical & Electronics Engineering (EEE),Diploma,30,444,2016,Urban,Yes,Yes
1-44638546285,1-44638546285,U-0336,GOKUL GROUP OF INSTITUTIONS,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,"PIRIDI - VILLAGE,",500014,18.114088,83.414396,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,Not Accredited,No,,Tier 3,http://www.gokul.ac.in,info@gokul.ac.in,admissions@gokul.ac.in,placement@gokul.ac.in,+91-80-930-6285,Data Science,B.Tech,60,444,2016,Urban,Yes,Yes
1-44638159244,1-44638159244,U-0062,SRINIVASA POLYTECHINC COLLEGE,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,MAIN ROAD PUSAPATIREGA  VIZIANAGARAM,500014,18.092927,83.409192,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B,Yes,,Tier 3,http://www.srinivasapolytechinc.ac.in,info@srinivasapolytechinc.ac.in,admissions@srinivasapolytechinc.ac.in,placement@srinivasapolytechinc.ac.in,+91-80-043-0732,Mechanical Engineering,Diploma,120,360,1999,Urban,Yes,Yes
1-44638159244,1-44638159244,U-0062,SRINIVASA POLYTECHINC COLLEGE,Active,Andhra Pradesh,Vizianagaram,Vizianagaram,MAIN ROAD PUSAPATIREGA  VIZIANAGARAM,500014,18.092927,83.409192,Private-Self Financing,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,B,Yes,,Tier 3,http://www.srinivasapolytechinc.ac.in,info@srinivasapolytechinc.ac.in,admissions@srinivasapolytechinc.ac.in,placement@srinivasapolytechinc.ac.in,+91-80-043-0732,Civil Engineering,Diploma,60,360,1999,Urban,Yes,Yes
