College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638276411,1-44638276411,U-0062,GOVERNMENT POLYTECHNIC,Active,Telangana,Warangal,Warangal,"PRINCIPAL,GOVERNMENT POLYTECHNIC,CHERIAL,WARANGAL DISTRIC",500815,17.983901,79.610604,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electrical & Electronics Engineering (EEE),Diploma,60,120,1995,Rural,Yes,Yes
1-44638276411,1-44638276411,U-0062,GOVERNMENT POLYTECHNIC,Active,Telangana,Warangal,Warangal,"PRINCIPAL,GOVERNMENT POLYTECHNIC,CHERIAL,WARANGAL DISTRIC",500815,17.983901,79.610604,Government,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Civil Engineering,Diploma,60,120,1995,Rural,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Other Engineering Branches,M.Tech,12,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Computer Science Engineering (CSE),Diploma,480,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Electrical & Electronics Engineering (EEE),B.Tech,30,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Computer Science Engineering (CSE),B.Tech,240,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Computer Science Engineering (CSE),M.Tech,30,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Electronics & Communication Engineering (ECE),B.Tech,120,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Electronics & Communication Engineering (ECE),Diploma,120,1302,1995,Urban,Yes,Yes
1-44638877389,1-44638877389,U-0961,S V S GROUP OF INSTITUTIONS,Active,Telangana,Warangal,Warangal,"# 1 - 96, BHEEMARAM",500815,17.974243,79.597126,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,Not Accredited,No,,Tier 3,http://www.svs.ac.in,info@svs.ac.in,admissions@svs.ac.in,placement@svs.ac.in,+91-80-062-9779,Electrical & Electronics Engineering (EEE),Diploma,60,1302,1995,Urban,Yes,Yes
