College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Civil Engineering,Diploma,60,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Computer Science Engineering (CSE),Diploma,60,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Electronics & Communication Engineering (ECE),Diploma,30,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Mechanical Engineering,Diploma,30,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Other Engineering Branches,Diploma,90,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Electrical Engineering,Diploma,30,300,2012,Urban,Yes,Yes
1-44638207113,1-44638207113,U-0992,DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH (DEEMED TO BE UNIVERSITY),Active,Maharashtra,Wardha,Wardha,"SALOD(H), WARDHA, MAHARASHTRA, 442001",442001,19.750075,75.702057,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.dattameghehigher.ac.in,info@dattameghehigher.ac.in,admissions@dattameghehigher.ac.in,placement@dattameghehigher.ac.in,+91-80-779-0644,Data Science,B.Tech,60,324,1990,Urban,Yes,Yes
1-44638207113,1-44638207113,U-0992,DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH (DEEMED TO BE UNIVERSITY),Active,Maharashtra,Wardha,Wardha,"SALOD(H), WARDHA, MAHARASHTRA, 442001",442001,19.750075,75.702057,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.dattameghehigher.ac.in,info@dattameghehigher.ac.in,admissions@dattameghehigher.ac.in,placement@dattameghehigher.ac.in,+91-80-779-0644,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,324,1990,Urban,Yes,Yes
1-44638207113,1-44638207113,U-0992,DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH (DEEMED TO BE UNIVERSITY),Active,Maharashtra,Wardha,Wardha,"SALOD(H), WARDHA, MAHARASHTRA, 442001",442001,19.750075,75.702057,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.dattameghehigher.ac.in,info@dattameghehigher.ac.in,admissions@dattameghehigher.ac.in,placement@dattameghehigher.ac.in,+91-80-779-0644,Data Science,M.Tech,12,324,1990,Urban,Yes,Yes
1-44638207113,1-44638207113,U-0992,DATTA MEGHE INSTITUTE OF HIGHER EDUCATION AND RESEARCH (DEEMED TO BE UNIVERSITY),Active,Maharashtra,Wardha,Wardha,"SALOD(H), WARDHA, MAHARASHTRA, 442001",442001,19.750075,75.702057,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.dattameghehigher.ac.in,info@dattameghehigher.ac.in,admissions@dattameghehigher.ac.in,placement@dattameghehigher.ac.in,+91-80-779-0644,Other Engineering Branches,M.Tech,12,324,1990,Urban,Yes,Yes
