College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Civil Engineering,B.Tech,60,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Electrical Engineering,B.Tech,60,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Electronics & Communication Engineering (ECE),B.Tech,60,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Mechanical Engineering,B.Tech,60,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Cyber Security,B.Tech,60,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Computer Science Engineering (CSE),B.Tech,30,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Other Engineering Branches,B.Tech,30,378,1995,Rural,Yes,Yes
1-44638510444,1-44638510444,U-0846,GOVERNMENT ENGINEERING COLLEGE WEST  CHAMPARAN,Active,Bihar,West Champaran,West Champaran,"TEMPORARY CAMPUS MOTIHARI COLLEGE OF ENGINEERING, MOTIHARI,  NH 28A, FURSHATPUR BARIYARPUR, MOTIHARI, BIHAR 845401",845401,25.110684,85.318596,Government,"Bihar Engineering University, Patna",Approved,Approved,B,No,,Tier 3,http://www.westchamparan.ac.in,info@westchamparan.ac.in,admissions@westchamparan.ac.in,placement@westchamparan.ac.in,+91-80-450-5379,Electronics & Communication Engineering (ECE),M.Tech,18,378,1995,Rural,Yes,Yes
1-44638759039,1-44638759039,U-0698,HI TECH POLYTECHNIC COLLEGE,Active,Bihar,West Champaran,West Champaran,"VILL SENUARIA NH-28B BETTIAH,MOTIHARI ROAD WEST CHAMPARAN BIHAR",800487,25.078761,85.327244,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.hitech.ac.in,info@hitech.ac.in,admissions@hitech.ac.in,placement@hitech.ac.in,+91-80-111-6378,Civil Engineering,Diploma,60,480,1994,Urban,Yes,Yes
1-44638759039,1-44638759039,U-0698,HI TECH POLYTECHNIC COLLEGE,Active,Bihar,West Champaran,West Champaran,"VILL SENUARIA NH-28B BETTIAH,MOTIHARI ROAD WEST CHAMPARAN BIHAR",800487,25.078761,85.327244,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.hitech.ac.in,info@hitech.ac.in,admissions@hitech.ac.in,placement@hitech.ac.in,+91-80-111-6378,Electrical Engineering,Diploma,60,480,1994,Urban,Yes,Yes
1-44638759039,1-44638759039,U-0698,HI TECH POLYTECHNIC COLLEGE,Active,Bihar,West Champaran,West Champaran,"VILL SENUARIA NH-28B BETTIAH,MOTIHARI ROAD WEST CHAMPARAN BIHAR",800487,25.078761,85.327244,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.hitech.ac.in,info@hitech.ac.in,admissions@hitech.ac.in,placement@hitech.ac.in,+91-80-111-6378,Mechanical Engineering,Diploma,60,480,1994,Urban,Yes,Yes
1-44638759039,1-44638759039,U-0698,HI TECH POLYTECHNIC COLLEGE,Active,Bihar,West Champaran,West Champaran,"VILL SENUARIA NH-28B BETTIAH,MOTIHARI ROAD WEST CHAMPARAN BIHAR",800487,25.078761,85.327244,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.hitech.ac.in,info@hitech.ac.in,admissions@hitech.ac.in,placement@hitech.ac.in,+91-80-111-6378,Computer Science Engineering (CSE),Diploma,60,480,1994,Urban,Yes,Yes
1-44638759039,1-44638759039,U-0698,HI TECH POLYTECHNIC COLLEGE,Active,Bihar,West Champaran,West Champaran,"VILL SENUARIA NH-28B BETTIAH,MOTIHARI ROAD WEST CHAMPARAN BIHAR",800487,25.078761,85.327244,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.hitech.ac.in,info@hitech.ac.in,admissions@hitech.ac.in,placement@hitech.ac.in,+91-80-111-6378,Electronics & Communication Engineering (ECE),Diploma,60,480,1994,Urban,Yes,Yes
1-44638759039,1-44638759039,U-0698,HI TECH POLYTECHNIC COLLEGE,Active,Bihar,West Champaran,West Champaran,"VILL SENUARIA NH-28B BETTIAH,MOTIHARI ROAD WEST CHAMPARAN BIHAR",800487,25.078761,85.327244,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.hitech.ac.in,info@hitech.ac.in,admissions@hitech.ac.in,placement@hitech.ac.in,+91-80-111-6378,Computer Science Engineering (CSE),B.Tech,60,480,1994,Urban,Yes,Yes
