College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Information Technology (IT),M.Tech,18,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Other Engineering Branches,M.Tech,36,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Computer Science Engineering (CSE),B.Tech,180,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Civil Engineering,B.Tech,30,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Electronics & Communication Engineering (ECE),B.Tech,180,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Electrical & Electronics Engineering (EEE),B.Tech,30,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Mechanical Engineering,B.Tech,30,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Civil Engineering,Diploma,30,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Computer Science Engineering (CSE),M.Tech,18,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Electronics & Communication Engineering (ECE),Diploma,60,1062,1995,Urban,Yes,Yes
