College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638899375,1-44638899375,U-0724,GOVERNMENT TOOL ROOM AND TRAINING CENTRE,Active,Karnataka,Yadgir,Yadgir,"GOVERNMENT TOOL ROOM AND TRAINING CENTRE, PLOT NO:486,KADECHUR-BADIYALA INDUSTRIAL AREA, RAICHUR MAIN ROAD (NH-150),TQ: YADGIR, DIST:YADGIR-585221 ",585221,15.323618,75.702406,Government,SELF,Approved,Approved,B++,Yes,,Tier 3,http://www.toolroomtraining.ac.in,info@toolroomtraining.ac.in,admissions@toolroomtraining.ac.in,placement@toolroomtraining.ac.in,+91-80-103-8262,Other Engineering Branches,Diploma,120,180,2008,Urban,Yes,Yes
1-44638899375,1-44638899375,U-0724,GOVERNMENT TOOL ROOM AND TRAINING CENTRE,Active,Karnataka,Yadgir,Yadgir,"GOVERNMENT TOOL ROOM AND TRAINING CENTRE, PLOT NO:486,KADECHUR-BADIYALA INDUSTRIAL AREA, RAICHUR MAIN ROAD (NH-150),TQ: YADGIR, DIST:YADGIR-585221 ",585221,15.323618,75.702406,Government,SELF,Approved,Approved,B++,Yes,,Tier 3,http://www.toolroomtraining.ac.in,info@toolroomtraining.ac.in,admissions@toolroomtraining.ac.in,placement@toolroomtraining.ac.in,+91-80-103-8262,Mechanical Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Civil Engineering,B.Tech,60,327,2010,Rural,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Computer Science Engineering (CSE),B.Tech,120,327,2010,Rural,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Electronics & Communication Engineering (ECE),B.Tech,60,327,2010,Rural,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Electrical & Electronics Engineering (EEE),B.Tech,30,327,2010,Rural,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Mechanical Engineering,B.Tech,30,327,2010,Rural,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Information Technology (IT),M.Tech,9,327,2010,Rural,Yes,Yes
1-44638848445,1-44638848445,U-0375,VEERAPPA NISTY ENGNINEERING COLLEGE,Active,Karnataka,Yadgir,Yadgir,"POST:HASNAPUR, TQ:SHORAPUR, DIST: YADGIR",560101,15.329508,75.729899,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,A+,No,,Tier 3,http://www.veerappanistyengnineering.ac.in,info@veerappanistyengnineering.ac.in,admissions@veerappanistyengnineering.ac.in,placement@veerappanistyengnineering.ac.in,+91-80-350-9094,Other Engineering Branches,M.Tech,18,327,2010,Rural,Yes,Yes
1-44639934720,1-44639934720,U-0294,NIVEDITA POLYTECHNIC YADGIR,Active,Karnataka,Yadgir,Yadgir,NIVEDITA POLYTECHNIC YADGIR. HYDERABAD ROAD YADGIR-585202,585202,15.322289,75.712962,Private-Self Financing,Directorate of Technical Education,Approved,Approved,Not Accredited,No,,Tier 3,http://www.niveditayadgir.ac.in,info@niveditayadgir.ac.in,admissions@niveditayadgir.ac.in,placement@niveditayadgir.ac.in,+91-80-048-1017,Civil Engineering,Diploma,30,150,2001,Urban,Yes,Yes
