College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638432730,1-44638432730,U-0843,CH. RANBIR SINGH GOVERNMENT POLYTECHNIC HATHNIKUND,Active,Haryana,Yamuna Nagar,Yamuna Nagar,HATHNIKUND BARRAGE,120265,29.075914,76.084386,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-556-6456,Civil Engineering,Diploma,60,300,1996,Rural,Yes,Yes
1-44638432730,1-44638432730,U-0843,CH. RANBIR SINGH GOVERNMENT POLYTECHNIC HATHNIKUND,Active,Haryana,Yamuna Nagar,Yamuna Nagar,HATHNIKUND BARRAGE,120265,29.075914,76.084386,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-556-6456,Electrical Engineering,Diploma,60,300,1996,Rural,Yes,Yes
1-44638432730,1-44638432730,U-0843,CH. RANBIR SINGH GOVERNMENT POLYTECHNIC HATHNIKUND,Active,Haryana,Yamuna Nagar,Yamuna Nagar,HATHNIKUND BARRAGE,120265,29.075914,76.084386,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-556-6456,Computer Science Engineering (CSE),Diploma,60,300,1996,Rural,Yes,Yes
1-44638432730,1-44638432730,U-0843,CH. RANBIR SINGH GOVERNMENT POLYTECHNIC HATHNIKUND,Active,Haryana,Yamuna Nagar,Yamuna Nagar,HATHNIKUND BARRAGE,120265,29.075914,76.084386,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-556-6456,Other Engineering Branches,Diploma,60,300,1996,Rural,Yes,Yes
1-44638432730,1-44638432730,U-0843,CH. RANBIR SINGH GOVERNMENT POLYTECHNIC HATHNIKUND,Active,Haryana,Yamuna Nagar,Yamuna Nagar,HATHNIKUND BARRAGE,120265,29.075914,76.084386,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.chranbirsingh.ac.in,info@chranbirsingh.ac.in,admissions@chranbirsingh.ac.in,placement@chranbirsingh.ac.in,+91-80-556-6456,Mechanical Engineering,Diploma,60,300,1996,Rural,Yes,Yes
1-44638881551,1-44638881551,U-0261,"GOVERNMENT POLYTECHNIC, RAJPUR, BLOCK SADHAURA",Active,Haryana,Yamuna Nagar,Yamuna Nagar,BLOCK - SADHAURA (YAMUNANAGAR),120265,29.051897,76.068825,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.rajpurblocksadhaura.ac.in,info@rajpurblocksadhaura.ac.in,admissions@rajpurblocksadhaura.ac.in,placement@rajpurblocksadhaura.ac.in,+91-80-549-3012,Computer Science Engineering (CSE),Diploma,60,300,1988,Rural,Yes,Yes
1-44638881551,1-44638881551,U-0261,"GOVERNMENT POLYTECHNIC, RAJPUR, BLOCK SADHAURA",Active,Haryana,Yamuna Nagar,Yamuna Nagar,BLOCK - SADHAURA (YAMUNANAGAR),120265,29.051897,76.068825,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.rajpurblocksadhaura.ac.in,info@rajpurblocksadhaura.ac.in,admissions@rajpurblocksadhaura.ac.in,placement@rajpurblocksadhaura.ac.in,+91-80-549-3012,Civil Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44638881551,1-44638881551,U-0261,"GOVERNMENT POLYTECHNIC, RAJPUR, BLOCK SADHAURA",Active,Haryana,Yamuna Nagar,Yamuna Nagar,BLOCK - SADHAURA (YAMUNANAGAR),120265,29.051897,76.068825,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.rajpurblocksadhaura.ac.in,info@rajpurblocksadhaura.ac.in,admissions@rajpurblocksadhaura.ac.in,placement@rajpurblocksadhaura.ac.in,+91-80-549-3012,Electrical Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44638881551,1-44638881551,U-0261,"GOVERNMENT POLYTECHNIC, RAJPUR, BLOCK SADHAURA",Active,Haryana,Yamuna Nagar,Yamuna Nagar,BLOCK - SADHAURA (YAMUNANAGAR),120265,29.051897,76.068825,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.rajpurblocksadhaura.ac.in,info@rajpurblocksadhaura.ac.in,admissions@rajpurblocksadhaura.ac.in,placement@rajpurblocksadhaura.ac.in,+91-80-549-3012,Mechanical Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44638881551,1-44638881551,U-0261,"GOVERNMENT POLYTECHNIC, RAJPUR, BLOCK SADHAURA",Active,Haryana,Yamuna Nagar,Yamuna Nagar,BLOCK - SADHAURA (YAMUNANAGAR),120265,29.051897,76.068825,Government,"Directorate of Technical Education, Haryana",Approved,Approved,A+,Yes,,Tier 2,http://www.rajpurblocksadhaura.ac.in,info@rajpurblocksadhaura.ac.in,admissions@rajpurblocksadhaura.ac.in,placement@rajpurblocksadhaura.ac.in,+91-80-549-3012,Electronics & Communication Engineering (ECE),Diploma,60,300,1988,Rural,Yes,Yes
