College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640764863,1-44640764863,U-0767,SUSHGANGA POLYTECHNIC,Active,Maharashtra,Yavatmal,Yavatmal,"AT- NAIGAON, POST - KONA",400981,19.757879,75.722644,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushganga.ac.in,info@sushganga.ac.in,admissions@sushganga.ac.in,placement@sushganga.ac.in,+91-80-106-3991,Other Engineering Branches,Diploma,45,300,2015,Urban,No,Yes
1-44640764863,1-44640764863,U-0767,SUSHGANGA POLYTECHNIC,Active,Maharashtra,Yavatmal,Yavatmal,"AT- NAIGAON, POST - KONA",400981,19.757879,75.722644,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushganga.ac.in,info@sushganga.ac.in,admissions@sushganga.ac.in,placement@sushganga.ac.in,+91-80-106-3991,Electrical Engineering,Diploma,45,300,2015,Urban,No,Yes
1-44640764863,1-44640764863,U-0767,SUSHGANGA POLYTECHNIC,Active,Maharashtra,Yavatmal,Yavatmal,"AT- NAIGAON, POST - KONA",400981,19.757879,75.722644,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushganga.ac.in,info@sushganga.ac.in,admissions@sushganga.ac.in,placement@sushganga.ac.in,+91-80-106-3991,Electronics & Communication Engineering (ECE),Diploma,45,300,2015,Urban,No,Yes
1-44640764863,1-44640764863,U-0767,SUSHGANGA POLYTECHNIC,Active,Maharashtra,Yavatmal,Yavatmal,"AT- NAIGAON, POST - KONA",400981,19.757879,75.722644,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushganga.ac.in,info@sushganga.ac.in,admissions@sushganga.ac.in,placement@sushganga.ac.in,+91-80-106-3991,Mechanical Engineering,Diploma,45,300,2015,Urban,No,Yes
1-44640764863,1-44640764863,U-0767,SUSHGANGA POLYTECHNIC,Active,Maharashtra,Yavatmal,Yavatmal,"AT- NAIGAON, POST - KONA",400981,19.757879,75.722644,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushganga.ac.in,info@sushganga.ac.in,admissions@sushganga.ac.in,placement@sushganga.ac.in,+91-80-106-3991,Civil Engineering,Diploma,60,300,2015,Urban,No,Yes
1-44640764863,1-44640764863,U-0767,SUSHGANGA POLYTECHNIC,Active,Maharashtra,Yavatmal,Yavatmal,"AT- NAIGAON, POST - KONA",400981,19.757879,75.722644,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.sushganga.ac.in,info@sushganga.ac.in,admissions@sushganga.ac.in,placement@sushganga.ac.in,+91-80-106-3991,Mining Engineering,Diploma,60,300,2015,Urban,No,Yes
1-44640655235,1-44640655235,U-0767,"GOVERNMENT POLYTECHNIC,YAVATMAL",Active,Maharashtra,Yavatmal,Yavatmal,"DHAMANGAO ROAD,YAVATMAL",400981,19.741733,75.700179,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicyavatmal.ac.in,info@polytechnicyavatmal.ac.in,admissions@polytechnicyavatmal.ac.in,placement@polytechnicyavatmal.ac.in,+91-80-429-1880,Computer Science Engineering (CSE),Diploma,60,300,1995,Urban,Yes,Yes
1-44640655235,1-44640655235,U-0767,"GOVERNMENT POLYTECHNIC,YAVATMAL",Active,Maharashtra,Yavatmal,Yavatmal,"DHAMANGAO ROAD,YAVATMAL",400981,19.741733,75.700179,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicyavatmal.ac.in,info@polytechnicyavatmal.ac.in,admissions@polytechnicyavatmal.ac.in,placement@polytechnicyavatmal.ac.in,+91-80-429-1880,Electronics & Communication Engineering (ECE),Diploma,60,300,1995,Urban,Yes,Yes
1-44640655235,1-44640655235,U-0767,"GOVERNMENT POLYTECHNIC,YAVATMAL",Active,Maharashtra,Yavatmal,Yavatmal,"DHAMANGAO ROAD,YAVATMAL",400981,19.741733,75.700179,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicyavatmal.ac.in,info@polytechnicyavatmal.ac.in,admissions@polytechnicyavatmal.ac.in,placement@polytechnicyavatmal.ac.in,+91-80-429-1880,Civil Engineering,Diploma,60,300,1995,Urban,Yes,Yes
1-44640655235,1-44640655235,U-0767,"GOVERNMENT POLYTECHNIC,YAVATMAL",Active,Maharashtra,Yavatmal,Yavatmal,"DHAMANGAO ROAD,YAVATMAL",400981,19.741733,75.700179,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicyavatmal.ac.in,info@polytechnicyavatmal.ac.in,admissions@polytechnicyavatmal.ac.in,placement@polytechnicyavatmal.ac.in,+91-80-429-1880,Mechanical Engineering,Diploma,60,300,1995,Urban,Yes,Yes
1-44640655235,1-44640655235,U-0767,"GOVERNMENT POLYTECHNIC,YAVATMAL",Active,Maharashtra,Yavatmal,Yavatmal,"DHAMANGAO ROAD,YAVATMAL",400981,19.741733,75.700179,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.polytechnicyavatmal.ac.in,info@polytechnicyavatmal.ac.in,admissions@polytechnicyavatmal.ac.in,placement@polytechnicyavatmal.ac.in,+91-80-429-1880,Electrical Engineering,Diploma,60,300,1995,Urban,Yes,Yes
