College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Computer Science Engineering (CSE),B.Tech,120,300,2022,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Electronics & Communication Engineering (ECE),B.Tech,60,300,2022,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Civil Engineering,B.Tech,60,300,2022,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Mechanical Engineering,B.Tech,60,300,2022,Urban,Yes,Yes
1-44638164065,1-44638164065,U-0992,MAULANA AZAD NATIONAL URDU UNIVERSITY POLYTECHNIC KADAPA,Active,Andhra Pradesh,Ysr District,Ysr District,"MAULANA AZAD NATIONAL URDU  UNIVERSITY POLYTECHNIC KADAPA, MAMILLA PALLI POST Y.M PALLI, OPPOSITE YSR SPORTS SCHOOL NEAR NEW RIMS RING ROAD KADAPA",500746,15.893422,79.742285,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.maulanaazadnational.ac.in,info@maulanaazadnational.ac.in,admissions@maulanaazadnational.ac.in,placement@maulanaazadnational.ac.in,+91-80-021-9022,Civil Engineering,Diploma,60,240,1990,Urban,Yes,Yes
1-44638164065,1-44638164065,U-0992,MAULANA AZAD NATIONAL URDU UNIVERSITY POLYTECHNIC KADAPA,Active,Andhra Pradesh,Ysr District,Ysr District,"MAULANA AZAD NATIONAL URDU  UNIVERSITY POLYTECHNIC KADAPA, MAMILLA PALLI POST Y.M PALLI, OPPOSITE YSR SPORTS SCHOOL NEAR NEW RIMS RING ROAD KADAPA",500746,15.893422,79.742285,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.maulanaazadnational.ac.in,info@maulanaazadnational.ac.in,admissions@maulanaazadnational.ac.in,placement@maulanaazadnational.ac.in,+91-80-021-9022,Mechanical Engineering,Diploma,60,240,1990,Urban,Yes,Yes
1-44638164065,1-44638164065,U-0992,MAULANA AZAD NATIONAL URDU UNIVERSITY POLYTECHNIC KADAPA,Active,Andhra Pradesh,Ysr District,Ysr District,"MAULANA AZAD NATIONAL URDU  UNIVERSITY POLYTECHNIC KADAPA, MAMILLA PALLI POST Y.M PALLI, OPPOSITE YSR SPORTS SCHOOL NEAR NEW RIMS RING ROAD KADAPA",500746,15.893422,79.742285,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.maulanaazadnational.ac.in,info@maulanaazadnational.ac.in,admissions@maulanaazadnational.ac.in,placement@maulanaazadnational.ac.in,+91-80-021-9022,Electrical & Electronics Engineering (EEE),Diploma,60,240,1990,Urban,Yes,Yes
1-44638164065,1-44638164065,U-0992,MAULANA AZAD NATIONAL URDU UNIVERSITY POLYTECHNIC KADAPA,Active,Andhra Pradesh,Ysr District,Ysr District,"MAULANA AZAD NATIONAL URDU  UNIVERSITY POLYTECHNIC KADAPA, MAMILLA PALLI POST Y.M PALLI, OPPOSITE YSR SPORTS SCHOOL NEAR NEW RIMS RING ROAD KADAPA",500746,15.893422,79.742285,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.maulanaazadnational.ac.in,info@maulanaazadnational.ac.in,admissions@maulanaazadnational.ac.in,placement@maulanaazadnational.ac.in,+91-80-021-9022,Other Engineering Branches,Diploma,60,240,1990,Urban,Yes,Yes
1-44638611875,1-44638611875,U-0853,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Andhra Pradesh,Ysr District,Ysr District,BACK SIDE OF RTO OFFICE MULAVANKA RAYACHOTY ROAD CHINTAKOMMA DINNE VILLAGE & POST KADAPA - 516 003,500746,15.924208,79.752928,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,A+,No,,Tier 3,http://www.annamacharyasciences.ac.in,info@annamacharyasciences.ac.in,admissions@annamacharyasciences.ac.in,placement@annamacharyasciences.ac.in,+91-80-313-1730,Other Engineering Branches,M.Tech,60,1542,2003,Rural,No,Yes
1-44638611875,1-44638611875,U-0853,ANNAMACHARYA INSTITUTE OF TECHNOLOGY AND SCIENCES,Active,Andhra Pradesh,Ysr District,Ysr District,BACK SIDE OF RTO OFFICE MULAVANKA RAYACHOTY ROAD CHINTAKOMMA DINNE VILLAGE & POST KADAPA - 516 003,500746,15.924208,79.752928,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,A+,No,,Tier 3,http://www.annamacharyasciences.ac.in,info@annamacharyasciences.ac.in,admissions@annamacharyasciences.ac.in,placement@annamacharyasciences.ac.in,+91-80-313-1730,Civil Engineering,B.Tech,30,1542,2003,Rural,No,Yes
