College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638507355,1-44638507355,U-0339,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY VIJAYAWADA,Active,Andhra Pradesh,Krishna,Krishna,SURAMPALLI   GANNAVARAM MANDAL VIJAYAWADA KRISHNA DISTRICT,500596,16.169134,81.13304,Government,NONE,Approved,Approved,A,No,,Tier 2,http://www.petrochemicalsvijayawada.ac.in,info@petrochemicalsvijayawada.ac.in,admissions@petrochemicalsvijayawada.ac.in,placement@petrochemicalsvijayawada.ac.in,+91-80-257-2665,Other Engineering Branches,M.Tech,30,150,2006,Urban,Yes,Yes
1-44638507355,1-44638507355,U-0339,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY VIJAYAWADA,Active,Andhra Pradesh,Krishna,Krishna,SURAMPALLI   GANNAVARAM MANDAL VIJAYAWADA KRISHNA DISTRICT,500596,16.169134,81.13304,Government,NONE,Approved,Approved,A,No,,Tier 2,http://www.petrochemicalsvijayawada.ac.in,info@petrochemicalsvijayawada.ac.in,admissions@petrochemicalsvijayawada.ac.in,placement@petrochemicalsvijayawada.ac.in,+91-80-257-2665,Other Engineering Branches,Diploma,120,150,2006,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Computer Science Engineering (CSE),M.Tech,9,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Electronics & Communication Engineering (ECE),B.Tech,60,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Electrical & Electronics Engineering (EEE),B.Tech,30,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Computer Science Engineering (CSE),B.Tech,90,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Mechanical Engineering,B.Tech,30,279,1983,Urban,Yes,Yes
1-44638553663,1-44638553663,U-0853,ANDHRA ENGINEERING COLLEGE,Active,Andhra Pradesh,Nellore,Nellore,NELLOREPALEM-VILLAGE,500172,14.447412,79.996858,Private-Self Financing,"Jawaharlal Nehru Technological University, Anantapur",Approved,Approved,B++,No,,Tier 3,http://www.andhra.ac.in,info@andhra.ac.in,admissions@andhra.ac.in,placement@andhra.ac.in,+91-80-040-7106,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,279,1983,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Computer Science Engineering (CSE),B.Tech,120,300,2022,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Electronics & Communication Engineering (ECE),B.Tech,60,300,2022,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Civil Engineering,B.Tech,60,300,2022,Urban,Yes,Yes
1-44638406745,1-44638406745,U-0062,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES DR A P J ABDUL KALAM IIIT ONGOLE,Active,Andhra Pradesh,Ysr District,Ysr District,"RK VALLEY CAMP OFFICE, IDUPULAPAYA VEMPALLI (MD), YSR DISTRICT",500746,15.901297,79.730873,State Government University,"State Board of Technical Education and Training, Andhra Pradesh",Approved,Approved,A,No,,Tier 3,http://www.rajivgandhiknowledge.ac.in,info@rajivgandhiknowledge.ac.in,admissions@rajivgandhiknowledge.ac.in,placement@rajivgandhiknowledge.ac.in,+91-80-352-1861,Mechanical Engineering,B.Tech,60,300,2022,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Information Technology (IT),M.Tech,18,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Other Engineering Branches,M.Tech,36,1062,1995,Urban,Yes,Yes
1-44638341961,1-44638341961,U-0336,DNR COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Andhra Pradesh,West Godavari,West Godavari,"DNR COLLEGE OF ENGINEERING & TECHNOLOGY, BALUSUMUDI,",500321,16.706386,81.097732,Private-Self Financing,"Jawaharlal Nehru Technological University, Kakinada",Approved,Approved,B,Yes,,Tier 3,http://www.dnr.ac.in,info@dnr.ac.in,admissions@dnr.ac.in,placement@dnr.ac.in,+91-80-657-9344,Computer Science Engineering (CSE),B.Tech,180,1062,1995,Urban,Yes,Yes
