College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Mechanical Engineering,B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Civil Engineering,B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Computer Science Engineering (CSE),B.Tech,90,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Electrical & Electronics Engineering (EEE),B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Mining Engineering,B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Other Engineering Branches,B.Tech,30,360,1985,Urban,Yes,Yes
1-44638551196,1-44638551196,U-0698,GOVERNMENT POLYTECHNIC ARWAL,Active,Bihar,Nalanda,Nalanda,CAMPUS OF GOVT. POLYTECHNIC ASTHAWAN NALANDA,800534,25.11532,85.297127,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-644-9817,Civil Engineering,Diploma,120,360,1997,Urban,Yes,Yes
1-44638551196,1-44638551196,U-0698,GOVERNMENT POLYTECHNIC ARWAL,Active,Bihar,Nalanda,Nalanda,CAMPUS OF GOVT. POLYTECHNIC ASTHAWAN NALANDA,800534,25.11532,85.297127,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-644-9817,Mechanical Engineering,Diploma,60,360,1997,Urban,Yes,Yes
1-44638551196,1-44638551196,U-0698,GOVERNMENT POLYTECHNIC ARWAL,Active,Bihar,Nalanda,Nalanda,CAMPUS OF GOVT. POLYTECHNIC ASTHAWAN NALANDA,800534,25.11532,85.297127,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-644-9817,Electrical Engineering,Diploma,60,360,1997,Urban,Yes,Yes
1-44638551196,1-44638551196,U-0698,GOVERNMENT POLYTECHNIC ARWAL,Active,Bihar,Nalanda,Nalanda,CAMPUS OF GOVT. POLYTECHNIC ASTHAWAN NALANDA,800534,25.11532,85.297127,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-644-9817,Computer Science Engineering (CSE),Diploma,60,360,1997,Urban,Yes,Yes
1-44638551196,1-44638551196,U-0698,GOVERNMENT POLYTECHNIC ARWAL,Active,Bihar,Nalanda,Nalanda,CAMPUS OF GOVT. POLYTECHNIC ASTHAWAN NALANDA,800534,25.11532,85.297127,Government,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 2,http://www.arwal.ac.in,info@arwal.ac.in,admissions@arwal.ac.in,placement@arwal.ac.in,+91-80-644-9817,Other Engineering Branches,Diploma,60,360,1997,Urban,Yes,Yes
1-44638506831,1-44638506831,U-0272,GOVERNMENT ENGINEERING COLLEGE SIWAN,Active,Bihar,Siwan,Siwan,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",841226,25.080302,85.300053,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.siwan.ac.in,info@siwan.ac.in,admissions@siwan.ac.in,placement@siwan.ac.in,+91-80-176-2604,Civil Engineering,B.Tech,60,360,1980,Urban,Yes,Yes
1-44638506831,1-44638506831,U-0272,GOVERNMENT ENGINEERING COLLEGE SIWAN,Active,Bihar,Siwan,Siwan,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",841226,25.080302,85.300053,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.siwan.ac.in,info@siwan.ac.in,admissions@siwan.ac.in,placement@siwan.ac.in,+91-80-176-2604,Mechanical Engineering,B.Tech,60,360,1980,Urban,Yes,Yes
1-44638506831,1-44638506831,U-0272,GOVERNMENT ENGINEERING COLLEGE SIWAN,Active,Bihar,Siwan,Siwan,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",841226,25.080302,85.300053,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.siwan.ac.in,info@siwan.ac.in,admissions@siwan.ac.in,placement@siwan.ac.in,+91-80-176-2604,Electrical Engineering,B.Tech,60,360,1980,Urban,Yes,Yes
1-44638506831,1-44638506831,U-0272,GOVERNMENT ENGINEERING COLLEGE SIWAN,Active,Bihar,Siwan,Siwan,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",841226,25.080302,85.300053,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.siwan.ac.in,info@siwan.ac.in,admissions@siwan.ac.in,placement@siwan.ac.in,+91-80-176-2604,IoT,B.Tech,60,360,1980,Urban,Yes,Yes
1-44638506831,1-44638506831,U-0272,GOVERNMENT ENGINEERING COLLEGE SIWAN,Active,Bihar,Siwan,Siwan,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",841226,25.080302,85.300053,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.siwan.ac.in,info@siwan.ac.in,admissions@siwan.ac.in,placement@siwan.ac.in,+91-80-176-2604,Computer Science Engineering (CSE),B.Tech,60,360,1980,Urban,Yes,Yes
1-44638506831,1-44638506831,U-0272,GOVERNMENT ENGINEERING COLLEGE SIWAN,Active,Bihar,Siwan,Siwan,"GOVERNMENT ENGINEERING COLLEGE SIWAN, MAIRWA ROAD, OLD SUTA MILL FACTORY, BHADA KHURD, SIWAN 841226 (BIHAR)",841226,25.080302,85.300053,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.siwan.ac.in,info@siwan.ac.in,admissions@siwan.ac.in,placement@siwan.ac.in,+91-80-176-2604,Other Engineering Branches,B.Tech,60,360,1980,Urban,Yes,Yes
1-44638507842,1-44638507842,U-0698,ARYABHATT POLYTECHNIC,Active,Bihar,Gaya,Gaya,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",800898,25.076141,85.324318,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 3,http://www.aryabhatt.ac.in,info@aryabhatt.ac.in,admissions@aryabhatt.ac.in,placement@aryabhatt.ac.in,+91-80-001-7351,Civil Engineering,Diploma,120,300,1984,Urban,Yes,Yes
1-44638507842,1-44638507842,U-0698,ARYABHATT POLYTECHNIC,Active,Bihar,Gaya,Gaya,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",800898,25.076141,85.324318,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 3,http://www.aryabhatt.ac.in,info@aryabhatt.ac.in,admissions@aryabhatt.ac.in,placement@aryabhatt.ac.in,+91-80-001-7351,Mechanical Engineering,Diploma,120,300,1984,Urban,Yes,Yes
1-44638507842,1-44638507842,U-0698,ARYABHATT POLYTECHNIC,Active,Bihar,Gaya,Gaya,"VILLAGE - HARIHARPUR, POST - AMWAN, P.S. - BODH GAYA, DISTRICT - GAYA",800898,25.076141,85.324318,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,A,No,,Tier 3,http://www.aryabhatt.ac.in,info@aryabhatt.ac.in,admissions@aryabhatt.ac.in,placement@aryabhatt.ac.in,+91-80-001-7351,Electrical Engineering,Diploma,60,300,1984,Urban,Yes,Yes
