College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638518271,1-44638518271,U-0183,GOVERNMENT ENGINEERING COLLEGE DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIYA, NANI DAMAN",500403,20.412981,72.859271,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-196-3773,Civil Engineering,B.Tech,60,300,1986,Urban,Yes,Yes
1-44638518271,1-44638518271,U-0183,GOVERNMENT ENGINEERING COLLEGE DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIYA, NANI DAMAN",500403,20.412981,72.859271,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-196-3773,Electrical Engineering,B.Tech,60,300,1986,Urban,Yes,Yes
1-44638518271,1-44638518271,U-0183,GOVERNMENT ENGINEERING COLLEGE DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIYA, NANI DAMAN",500403,20.412981,72.859271,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-196-3773,Mechanical Engineering,B.Tech,60,300,1986,Urban,Yes,Yes
1-44638518271,1-44638518271,U-0183,GOVERNMENT ENGINEERING COLLEGE DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIYA, NANI DAMAN",500403,20.412981,72.859271,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-196-3773,Other Engineering Branches,B.Tech,60,300,1986,Urban,Yes,Yes
1-44638518271,1-44638518271,U-0183,GOVERNMENT ENGINEERING COLLEGE DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIYA, NANI DAMAN",500403,20.412981,72.859271,Government,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-196-3773,Computer Science Engineering (CSE),B.Tech,60,300,1986,Urban,Yes,Yes
1-44640328645,1-44640328645,U-0984,"GOVERNMENT POLYTECHNIC,DIU",Active,Daman and Diu,Diu,Diu,"GOVERNMENT POLYTECHNIC DIU, EDUCATATION HUB, KEVDI, DIU",500505,20.421908,72.832656,Govt aided,Gujarat State Technical Examination Board,Approved,Approved,B++,No,,Tier 3,http://www.polytechnicdiu.ac.in,info@polytechnicdiu.ac.in,admissions@polytechnicdiu.ac.in,placement@polytechnicdiu.ac.in,+91-80-570-7602,Electrical Engineering,Diploma,54,216,1997,Urban,Yes,Yes
1-44640328645,1-44640328645,U-0984,"GOVERNMENT POLYTECHNIC,DIU",Active,Daman and Diu,Diu,Diu,"GOVERNMENT POLYTECHNIC DIU, EDUCATATION HUB, KEVDI, DIU",500505,20.421908,72.832656,Govt aided,Gujarat State Technical Examination Board,Approved,Approved,B++,No,,Tier 3,http://www.polytechnicdiu.ac.in,info@polytechnicdiu.ac.in,admissions@polytechnicdiu.ac.in,placement@polytechnicdiu.ac.in,+91-80-570-7602,Mechanical Engineering,Diploma,54,216,1997,Urban,Yes,Yes
1-44640328645,1-44640328645,U-0984,"GOVERNMENT POLYTECHNIC,DIU",Active,Daman and Diu,Diu,Diu,"GOVERNMENT POLYTECHNIC DIU, EDUCATATION HUB, KEVDI, DIU",500505,20.421908,72.832656,Govt aided,Gujarat State Technical Examination Board,Approved,Approved,B++,No,,Tier 3,http://www.polytechnicdiu.ac.in,info@polytechnicdiu.ac.in,admissions@polytechnicdiu.ac.in,placement@polytechnicdiu.ac.in,+91-80-570-7602,Civil Engineering,Diploma,54,216,1997,Urban,Yes,Yes
1-44640328645,1-44640328645,U-0984,"GOVERNMENT POLYTECHNIC,DIU",Active,Daman and Diu,Diu,Diu,"GOVERNMENT POLYTECHNIC DIU, EDUCATATION HUB, KEVDI, DIU",500505,20.421908,72.832656,Govt aided,Gujarat State Technical Examination Board,Approved,Approved,B++,No,,Tier 3,http://www.polytechnicdiu.ac.in,info@polytechnicdiu.ac.in,admissions@polytechnicdiu.ac.in,placement@polytechnicdiu.ac.in,+91-80-570-7602,Other Engineering Branches,Diploma,54,216,1997,Urban,Yes,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Civil Engineering,Diploma,60,420,2017,Urban,No,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Mechanical Engineering,Diploma,60,420,2017,Urban,No,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Chemical Engineering,Diploma,60,420,2017,Urban,No,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Information Technology (IT),Diploma,60,420,2017,Urban,No,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Computer Science Engineering (CSE),Diploma,60,420,2017,Urban,No,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Electrical Engineering,Diploma,60,420,2017,Urban,No,Yes
1-44640636665,1-44640636665,U-0984,GOVERNMENT POLYTECHNIC DAMAN,Active,Daman and Diu,Daman,Daman,"VARKUND, MOTA FALIA, NANI DAMAN DAMAN",500403,20.44478,72.847488,Government,Gujarat State Technical Examination Board,Approved,Approved,A,No,,Tier 2,http://www.daman.ac.in,info@daman.ac.in,admissions@daman.ac.in,placement@daman.ac.in,+91-80-530-0785,Other Engineering Branches,Diploma,60,420,2017,Urban,No,Yes
