College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638498929,1-44638498929,U-0992,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,SCHOOL OF COMPUTER AND SYSTEMS SCIENCES JAWAHARLAL NEHRU UNIVERSITY,110785,28.600753,77.22304,Central University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Computer Science Engineering (CSE),M.Tech,30,60,1993,Urban,Yes,Yes
1-44638498929,1-44638498929,U-0992,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,SCHOOL OF COMPUTER AND SYSTEMS SCIENCES JAWAHARLAL NEHRU UNIVERSITY,110785,28.600753,77.22304,Central University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Data Science,M.Tech,30,60,1993,Urban,Yes,Yes
1-44638395090,1-44638395090,U-0992,TERI SCHOOL OF ADVANCED STUDIES DEEMED TO BE UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"10, INSTITUTIONAL AREA, VASANT KUNJ NEW DELHI",110785,28.605344,77.222281,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.terischooladvanced.ac.in,info@terischooladvanced.ac.in,admissions@terischooladvanced.ac.in,placement@terischooladvanced.ac.in,+91-80-480-0212,Other Engineering Branches,M.Tech,30,30,1990,Urban,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Electronics & Communication Engineering (ECE),B.Tech,240,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Electronics & Communication Engineering (ECE),M.Tech,30,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Computer Science Engineering (CSE),B.Tech,466,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Computer Science Engineering (CSE),M.Tech,30,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Information Technology (IT),B.Tech,150,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Mechanical Engineering,B.Tech,90,1183,2012,Rural,Yes,Yes
1-44636971034,1-44636971034,U-0992,INDIRA GANDHI DELHI TECHNICAL UNIVERSITY FOR WOMEN,Active,Delhi,Central Delhi,Central Delhi,"KASHMERE GATE, DELHI",110136,28.631172,77.202908,State Government University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.indiragandhidelhi.ac.in,info@indiragandhidelhi.ac.in,admissions@indiragandhidelhi.ac.in,placement@indiragandhidelhi.ac.in,+91-80-563-2985,Robotics,M.Tech,27,1183,2012,Rural,Yes,Yes
