College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Civil Engineering,B.Tech,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Computer Science Engineering (CSE),B.Tech,120,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Information Technology (IT),B.Tech,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Mechanical Engineering,B.Tech,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Civil Engineering,Diploma,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Other Engineering Branches,Diploma,120,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Mechanical Engineering,Diploma,60,600,2014,Urban,No,Yes
1-44638506195,1-44638506195,U-0510,GYANMANJARI INSTITUTE OF TECHNOLOGY,Active,Gujarat,Bhavnagar,Bhavnagar,"SURVEY NO.30, T.P. NO. 06, P.NO. 39, F.P NO. 39, AT SIDSAR, BHAVNAGAR Ã¢â¬â 364060, GUJARAT, INDIA",364060,22.255829,71.173979,Private-Self Financing,Gyanmanjari Innovative University,Approved,Approved,B,No,,Tier 3,http://www.gyanmanjari.ac.in,info@gyanmanjari.ac.in,admissions@gyanmanjari.ac.in,placement@gyanmanjari.ac.in,+91-80-718-4394,Electrical Engineering,Diploma,60,600,2014,Urban,No,Yes
1-44638339730,1-44638339730,U-0400,VIDUSH SOMANY INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Gujarat,Mehsana,Mehsana,"SARVA VIDYALAYA CAMPUS, BEHIND RAILWAY STATION, KADI",380957,23.605916,72.36564,Private-Self Financing,"Kadi Sarva Vishwavidyalaya, Gandhinagar",Approved,Approved,B,Yes,,Tier 3,http://www.vidushsomanyresearch.ac.in,info@vidushsomanyresearch.ac.in,admissions@vidushsomanyresearch.ac.in,placement@vidushsomanyresearch.ac.in,+91-80-590-2824,Information Technology (IT),B.Tech,60,180,1992,Urban,Yes,Yes
1-44638339730,1-44638339730,U-0400,VIDUSH SOMANY INSTITUTE OF TECHNOLOGY AND RESEARCH,Active,Gujarat,Mehsana,Mehsana,"SARVA VIDYALAYA CAMPUS, BEHIND RAILWAY STATION, KADI",380957,23.605916,72.36564,Private-Self Financing,"Kadi Sarva Vishwavidyalaya, Gandhinagar",Approved,Approved,B,Yes,,Tier 3,http://www.vidushsomanyresearch.ac.in,info@vidushsomanyresearch.ac.in,admissions@vidushsomanyresearch.ac.in,placement@vidushsomanyresearch.ac.in,+91-80-590-2824,Computer Science Engineering (CSE),B.Tech,120,180,1992,Urban,Yes,Yes
