College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638360587,1-44638360587,U-0675,MSME TECHNOLOGY CENTRE  BADDI,Active,Himachal Pradesh,Solan,Solan,MSME TECHNOLOGY CENTRE,170629,31.095534,77.179379,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.msmecentrebaddi.ac.in,info@msmecentrebaddi.ac.in,admissions@msmecentrebaddi.ac.in,placement@msmecentrebaddi.ac.in,+91-80-450-2438,Mechanical Engineering,Diploma,240,240,2004,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Civil Engineering,B.Tech,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Electrical Engineering,B.Tech,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Computer Science Engineering (CSE),B.Tech,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Civil Engineering,Diploma,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Mechanical Engineering,Diploma,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Electrical Engineering,Diploma,30,240,1990,Urban,Yes,Yes
1-44638135699,1-44638135699,U-0977,LR ENGINEERING AND TECHNOLOGY,Active,Himachal Pradesh,Solan,Solan,"VILLAGE JABLI-KYAR, P.O. OACHGHAT,",170629,31.11262,77.186893,Private-Self Financing,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B,No,,Tier 3,http://www.lr.ac.in,info@lr.ac.in,admissions@lr.ac.in,placement@lr.ac.in,+91-80-166-8694,Computer Science Engineering (CSE),Diploma,30,240,1990,Urban,Yes,Yes
1-44638266277,1-44638266277,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET) BADDI,Active,Himachal Pradesh,Solan,Solan,CIPET PLOT NO.198/201 NEAR BIOGENETIC PVT. LTD. JHARMAJRI BADDI DIST SOLAN H.P,170629,31.10673,77.18845,Government,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.petrochemicalscipetbaddi.ac.in,info@petrochemicalscipetbaddi.ac.in,admissions@petrochemicalscipetbaddi.ac.in,placement@petrochemicalscipetbaddi.ac.in,+91-80-919-8304,Other Engineering Branches,Diploma,120,180,1989,Rural,Yes,Yes
