College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Civil Engineering,B.Tech,30,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Computer Science Engineering (CSE),B.Tech,150,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Information Technology (IT),B.Tech,60,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Electronics & Communication Engineering (ECE),B.Tech,180,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Mechanical Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Cyber Security,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Data Science,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638340832,1-44638340832,U-0375,A. J. INSTITUTE OF ENGINEERING AND TECHNOLOGY  MANGALURU,Active,Karnataka,Dakshina Kannada,Dakshina Kannada,KOTTARA CHOWKI BOLOOR VILLAGE,560617,12.886034,74.874229,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,No,,Tier 3,http://www.ajmangaluru.ac.in,info@ajmangaluru.ac.in,admissions@ajmangaluru.ac.in,placement@ajmangaluru.ac.in,+91-80-498-7850,Other Engineering Branches,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638531848,1-44638531848,U-0992,CHRIST DEEMED TO BE UNIVERSITY KENGERI CAMPUS,Active,Karnataka,Bengaluru Urban,Bengaluru Urban,"KANMINIKE, KUMBALGODU POST, BENGALURU 560074",560074,15.318587,75.727553,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.christdeemedto.ac.in,info@christdeemedto.ac.in,admissions@christdeemedto.ac.in,placement@christdeemedto.ac.in,+91-80-892-8471,Automobile Engineering,B.Tech,30,948,2009,Urban,Yes,Yes
