College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638482322,1-44638482322,U-0539,VERGHESE KURIEN INSTITUTE OF DAIRY AND FOOD TECHNOLOGY,Active,Kerala,Thrissur,Thrissur,"COLLEGE OF DAIRY SCIENCE AND TECHNOLOGY, MANNUTHY, THRISSUR",682330,10.535025,76.2106,Government,KERALA VETERINARY AND ANIMAL SCIENCES UNIVERSITY,Approved,Approved,B,No,,Tier 3,http://www.verghesekuriendairy.ac.in,info@verghesekuriendairy.ac.in,admissions@verghesekuriendairy.ac.in,placement@verghesekuriendairy.ac.in,+91-80-150-2951,Other Engineering Branches,B.Tech,90,90,1993,Rural,Yes,Yes
1-44638340342,1-44638340342,U-0317,"MALABAR POLYTECHNIC COLLEGE, KOTTAKKAL",Active,Kerala,Malappuram,Malappuram,"MARAVATTAM, PO:KADAMPUZHA DIST: MALAPPURAM",682347,10.858877,76.288181,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.malabarkottakkal.ac.in,info@malabarkottakkal.ac.in,admissions@malabarkottakkal.ac.in,placement@malabarkottakkal.ac.in,+91-80-190-2189,Information Technology (IT),Diploma,60,300,2004,Rural,Yes,Yes
1-44638340342,1-44638340342,U-0317,"MALABAR POLYTECHNIC COLLEGE, KOTTAKKAL",Active,Kerala,Malappuram,Malappuram,"MARAVATTAM, PO:KADAMPUZHA DIST: MALAPPURAM",682347,10.858877,76.288181,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.malabarkottakkal.ac.in,info@malabarkottakkal.ac.in,admissions@malabarkottakkal.ac.in,placement@malabarkottakkal.ac.in,+91-80-190-2189,Civil Engineering,Diploma,60,300,2004,Rural,Yes,Yes
1-44638340342,1-44638340342,U-0317,"MALABAR POLYTECHNIC COLLEGE, KOTTAKKAL",Active,Kerala,Malappuram,Malappuram,"MARAVATTAM, PO:KADAMPUZHA DIST: MALAPPURAM",682347,10.858877,76.288181,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.malabarkottakkal.ac.in,info@malabarkottakkal.ac.in,admissions@malabarkottakkal.ac.in,placement@malabarkottakkal.ac.in,+91-80-190-2189,Mechanical Engineering,Diploma,60,300,2004,Rural,Yes,Yes
1-44638340342,1-44638340342,U-0317,"MALABAR POLYTECHNIC COLLEGE, KOTTAKKAL",Active,Kerala,Malappuram,Malappuram,"MARAVATTAM, PO:KADAMPUZHA DIST: MALAPPURAM",682347,10.858877,76.288181,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.malabarkottakkal.ac.in,info@malabarkottakkal.ac.in,admissions@malabarkottakkal.ac.in,placement@malabarkottakkal.ac.in,+91-80-190-2189,Automobile Engineering,Diploma,60,300,2004,Rural,Yes,Yes
1-44638340342,1-44638340342,U-0317,"MALABAR POLYTECHNIC COLLEGE, KOTTAKKAL",Active,Kerala,Malappuram,Malappuram,"MARAVATTAM, PO:KADAMPUZHA DIST: MALAPPURAM",682347,10.858877,76.288181,Private-Self Financing,"Board of Technical Examination, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.malabarkottakkal.ac.in,info@malabarkottakkal.ac.in,admissions@malabarkottakkal.ac.in,placement@malabarkottakkal.ac.in,+91-80-190-2189,Electrical & Electronics Engineering (EEE),Diploma,60,300,2004,Rural,Yes,Yes
1-44638534706,1-44638534706,U-0672,COLLEGE OF ENGINEERING MUTTATHARA,Active,Kerala,Thiruvananthapuram,Thiruvananthapuram,"ST:SEBASTIAN CHURCH ROAD,VALLAKADAVU. P. O,THIRUVANANTHAPURAM",682973,8.542582,76.955174,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.muttathara.ac.in,info@muttathara.ac.in,admissions@muttathara.ac.in,placement@muttathara.ac.in,+91-80-614-0534,Mechanical Engineering,B.Tech,60,360,2007,Urban,Yes,Yes
1-44638534706,1-44638534706,U-0672,COLLEGE OF ENGINEERING MUTTATHARA,Active,Kerala,Thiruvananthapuram,Thiruvananthapuram,"ST:SEBASTIAN CHURCH ROAD,VALLAKADAVU. P. O,THIRUVANANTHAPURAM",682973,8.542582,76.955174,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.muttathara.ac.in,info@muttathara.ac.in,admissions@muttathara.ac.in,placement@muttathara.ac.in,+91-80-614-0534,Civil Engineering,B.Tech,60,360,2007,Urban,Yes,Yes
1-44638534706,1-44638534706,U-0672,COLLEGE OF ENGINEERING MUTTATHARA,Active,Kerala,Thiruvananthapuram,Thiruvananthapuram,"ST:SEBASTIAN CHURCH ROAD,VALLAKADAVU. P. O,THIRUVANANTHAPURAM",682973,8.542582,76.955174,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.muttathara.ac.in,info@muttathara.ac.in,admissions@muttathara.ac.in,placement@muttathara.ac.in,+91-80-614-0534,Electrical & Electronics Engineering (EEE),B.Tech,60,360,2007,Urban,Yes,Yes
1-44638534706,1-44638534706,U-0672,COLLEGE OF ENGINEERING MUTTATHARA,Active,Kerala,Thiruvananthapuram,Thiruvananthapuram,"ST:SEBASTIAN CHURCH ROAD,VALLAKADAVU. P. O,THIRUVANANTHAPURAM",682973,8.542582,76.955174,Government,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B++,Yes,,Tier 3,http://www.muttathara.ac.in,info@muttathara.ac.in,admissions@muttathara.ac.in,placement@muttathara.ac.in,+91-80-614-0534,Electronics & Communication Engineering (ECE),B.Tech,60,360,2007,Urban,Yes,Yes
