College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Mechanical Engineering,Diploma,120,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Computer Science Engineering (CSE),Diploma,60,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Electrical Engineering,Diploma,60,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Civil Engineering,Diploma,120,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Electronics & Communication Engineering (ECE),Diploma,30,420,1987,Urban,Yes,Yes
1-44639430272,1-44639430272,U-0767,NIT'S LATE ANNASAHEB PATIL POLYTECHNIC,Active,Maharashtra,Nashik,Nashik,"SVR. NO.155 /1A , HIRAWADI , BEHIND HYDRO DIVISION ,CANOL ROAD ,PANCHAVATI",400015,20.006132,73.790807,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B,No,,Tier 3,http://www.nitslateannasaheb.ac.in,info@nitslateannasaheb.ac.in,admissions@nitslateannasaheb.ac.in,placement@nitslateannasaheb.ac.in,+91-80-200-9094,Automobile Engineering,Diploma,30,420,1987,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Civil Engineering,Diploma,60,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Computer Science Engineering (CSE),Diploma,60,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Electronics & Communication Engineering (ECE),Diploma,30,300,2012,Urban,Yes,Yes
1-44639430878,1-44639430878,U-0767,AGNIHOTRI SCHOOL OF TECHNOLOGY,Active,Maharashtra,Wardha,Wardha,"AGNIHOTRI COLLEGE CAMPUS, BAPUJI WADI , RAMNAGAR, WARDHA",400468,19.747779,75.724308,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,B++,No,,Tier 3,http://www.agnihotrischool.ac.in,info@agnihotrischool.ac.in,admissions@agnihotrischool.ac.in,placement@agnihotrischool.ac.in,+91-80-682-7970,Mechanical Engineering,Diploma,30,300,2012,Urban,Yes,Yes
