College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638250859,1-44638250859,U-0992,SCHOOL OF TECHNOLOGY,Active,Meghalaya,East Khasi Hills,East Khasi Hills,MAWKYNROH-UMSHING MAWLAI,500085,25.472785,91.377739,Central University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-081-4921,Information Technology (IT),B.Tech,30,120,1997,Urban,Yes,Yes
1-44638250859,1-44638250859,U-0992,SCHOOL OF TECHNOLOGY,Active,Meghalaya,East Khasi Hills,East Khasi Hills,MAWKYNROH-UMSHING MAWLAI,500085,25.472785,91.377739,Central University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-081-4921,Electronics & Communication Engineering (ECE),B.Tech,30,120,1997,Urban,Yes,Yes
1-44638250859,1-44638250859,U-0992,SCHOOL OF TECHNOLOGY,Active,Meghalaya,East Khasi Hills,East Khasi Hills,MAWKYNROH-UMSHING MAWLAI,500085,25.472785,91.377739,Central University,NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-081-4921,Other Engineering Branches,B.Tech,60,120,1997,Urban,Yes,Yes
1-44639525358,1-44639525358,U-0015,JOWAI POLYTECHNIC,Active,Meghalaya,Jaintia Hills,Jaintia Hills,"LADTHALABOH, NEAR KIANG NANGBAH GOVT COLLEGE",500070,25.467807,91.380868,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,A,No,,Tier 2,http://www.jowai.ac.in,info@jowai.ac.in,admissions@jowai.ac.in,placement@jowai.ac.in,+91-80-872-7005,Automobile Engineering,Diploma,30,30,2003,Urban,No,Yes
1-44639941860,1-44639941860,U-0371,SCHOOL OF TECHNOLOGY & MANAGEMENT,Active,Meghalaya,Ri Bhoi,Ri Bhoi,"UNIVERSITY OF SCIENCE & TECHNOLOGY, TECHNO-CITY, KILLING ROAD, 9TH MILE,",500468,25.48263,91.371809,Private-Self Financing,"University of Science and Technology, Ri- Bhoi",Approved,Approved,B+,No,,Tier 3,http://www.schoolmanagement.ac.in,info@schoolmanagement.ac.in,admissions@schoolmanagement.ac.in,placement@schoolmanagement.ac.in,+91-80-494-4419,Civil Engineering,B.Tech,120,360,2016,Rural,Yes,Yes
1-44639941860,1-44639941860,U-0371,SCHOOL OF TECHNOLOGY & MANAGEMENT,Active,Meghalaya,Ri Bhoi,Ri Bhoi,"UNIVERSITY OF SCIENCE & TECHNOLOGY, TECHNO-CITY, KILLING ROAD, 9TH MILE,",500468,25.48263,91.371809,Private-Self Financing,"University of Science and Technology, Ri- Bhoi",Approved,Approved,B+,No,,Tier 3,http://www.schoolmanagement.ac.in,info@schoolmanagement.ac.in,admissions@schoolmanagement.ac.in,placement@schoolmanagement.ac.in,+91-80-494-4419,Computer Science Engineering (CSE),B.Tech,120,360,2016,Rural,Yes,Yes
1-44639941860,1-44639941860,U-0371,SCHOOL OF TECHNOLOGY & MANAGEMENT,Active,Meghalaya,Ri Bhoi,Ri Bhoi,"UNIVERSITY OF SCIENCE & TECHNOLOGY, TECHNO-CITY, KILLING ROAD, 9TH MILE,",500468,25.48263,91.371809,Private-Self Financing,"University of Science and Technology, Ri- Bhoi",Approved,Approved,B+,No,,Tier 3,http://www.schoolmanagement.ac.in,info@schoolmanagement.ac.in,admissions@schoolmanagement.ac.in,placement@schoolmanagement.ac.in,+91-80-494-4419,Electrical & Electronics Engineering (EEE),B.Tech,60,360,2016,Rural,Yes,Yes
1-44639941860,1-44639941860,U-0371,SCHOOL OF TECHNOLOGY & MANAGEMENT,Active,Meghalaya,Ri Bhoi,Ri Bhoi,"UNIVERSITY OF SCIENCE & TECHNOLOGY, TECHNO-CITY, KILLING ROAD, 9TH MILE,",500468,25.48263,91.371809,Private-Self Financing,"University of Science and Technology, Ri- Bhoi",Approved,Approved,B+,No,,Tier 3,http://www.schoolmanagement.ac.in,info@schoolmanagement.ac.in,admissions@schoolmanagement.ac.in,placement@schoolmanagement.ac.in,+91-80-494-4419,Mechanical Engineering,B.Tech,60,360,2016,Rural,Yes,Yes
1-44640806284,1-44640806284,U-0015,TURA POLYTECHNIC,Active,Meghalaya,West Garo Hills,West Garo Hills,"CHERANGRE,NR. TURA PUBLIC SCHOOL",500525,25.469012,91.352184,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B++,Yes,,Tier 3,http://www.tura.ac.in,info@tura.ac.in,admissions@tura.ac.in,placement@tura.ac.in,+91-80-923-2422,Other Engineering Branches,Diploma,90,90,1998,Urban,Yes,Yes
1-44640866783,1-44640866783,U-0015,SHILLONG POLYTECHNIC,Active,Meghalaya,East Khasi Hills,East Khasi Hills,"MAWLAI KYNTON MASSAR, MAWLAI, SHILLONG, MEGHALAYA",500085,25.457089,91.35421,Government,"Meghalaya State Council for Technical Education, Shillong",Approved,Approved,B,No,,Tier 3,http://www.shillong.ac.in,info@shillong.ac.in,admissions@shillong.ac.in,placement@shillong.ac.in,+91-80-423-1475,Civil Engineering,Diploma,60,190,1981,Urban,Yes,Yes
