College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638782923,1-44638782923,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Mizoram,Aizawl,Aizawl,"MIZORAM UNIVERSITY, AIZAWL",500498,23.167669,92.930447,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Civil Engineering,B.Tech,37,185,1987,Urban,Yes,Yes
1-44638782923,1-44638782923,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Mizoram,Aizawl,Aizawl,"MIZORAM UNIVERSITY, AIZAWL",500498,23.167669,92.930447,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Computer Science Engineering (CSE),B.Tech,37,185,1987,Urban,Yes,Yes
1-44638782923,1-44638782923,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Mizoram,Aizawl,Aizawl,"MIZORAM UNIVERSITY, AIZAWL",500498,23.167669,92.930447,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Electrical Engineering,B.Tech,37,185,1987,Urban,Yes,Yes
1-44638782923,1-44638782923,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Mizoram,Aizawl,Aizawl,"MIZORAM UNIVERSITY, AIZAWL",500498,23.167669,92.930447,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Electronics & Communication Engineering (ECE),B.Tech,37,185,1987,Urban,Yes,Yes
1-44638782923,1-44638782923,U-0992,SCHOOL OF ENGINEERING AND TECHNOLOGY,Active,Mizoram,Aizawl,Aizawl,"MIZORAM UNIVERSITY, AIZAWL",500498,23.167669,92.930447,Central University,NOT APPLICABLE,Approved,Approved,B++,No,,Tier 3,http://www.school.ac.in,info@school.ac.in,admissions@school.ac.in,placement@school.ac.in,+91-80-971-7586,Information Technology (IT),B.Tech,37,185,1987,Urban,Yes,Yes
1-44639955374,1-44639955374,U-0485,MIZORAM POLYTECHNIC,Active,Mizoram,Lunglei,Lunglei,LUNGLEI,500441,23.154091,92.930224,Government,"Mizoram State Council for Technical Education, Aizawl",Approved,Approved,A+,Yes,,Tier 2,http://www.mizoram.ac.in,info@mizoram.ac.in,admissions@mizoram.ac.in,placement@mizoram.ac.in,+91-80-402-2864,Civil Engineering,Diploma,30,110,2016,Urban,Yes,Yes
1-44639955374,1-44639955374,U-0485,MIZORAM POLYTECHNIC,Active,Mizoram,Lunglei,Lunglei,LUNGLEI,500441,23.154091,92.930224,Government,"Mizoram State Council for Technical Education, Aizawl",Approved,Approved,A+,Yes,,Tier 2,http://www.mizoram.ac.in,info@mizoram.ac.in,admissions@mizoram.ac.in,placement@mizoram.ac.in,+91-80-402-2864,Electrical Engineering,Diploma,30,110,2016,Urban,Yes,Yes
1-44639955374,1-44639955374,U-0485,MIZORAM POLYTECHNIC,Active,Mizoram,Lunglei,Lunglei,LUNGLEI,500441,23.154091,92.930224,Government,"Mizoram State Council for Technical Education, Aizawl",Approved,Approved,A+,Yes,,Tier 2,http://www.mizoram.ac.in,info@mizoram.ac.in,admissions@mizoram.ac.in,placement@mizoram.ac.in,+91-80-402-2864,Computer Science Engineering (CSE),Diploma,30,110,2016,Urban,Yes,Yes
1-44639955374,1-44639955374,U-0485,MIZORAM POLYTECHNIC,Active,Mizoram,Lunglei,Lunglei,LUNGLEI,500441,23.154091,92.930224,Government,"Mizoram State Council for Technical Education, Aizawl",Approved,Approved,A+,Yes,,Tier 2,http://www.mizoram.ac.in,info@mizoram.ac.in,admissions@mizoram.ac.in,placement@mizoram.ac.in,+91-80-402-2864,Mechanical Engineering,Diploma,20,110,2016,Urban,Yes,Yes
1-44640208661,1-44640208661,U-0785,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY (NIELIT), AIZAWL CENTRE",Active,Mizoram,Aizawl,Aizawl,"INDUSTRIAL ESTATE, ZUANGTUI,",500498,23.172558,92.933371,Government,NIELIT,Approved,Approved,A+,Yes,,Tier 2,http://www.nationalelectronicsinformation.ac.in,info@nationalelectronicsinformation.ac.in,admissions@nationalelectronicsinformation.ac.in,placement@nationalelectronicsinformation.ac.in,+91-80-176-8420,Electronics & Communication Engineering (ECE),Diploma,30,150,2015,Rural,Yes,Yes
1-44640208661,1-44640208661,U-0785,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY (NIELIT), AIZAWL CENTRE",Active,Mizoram,Aizawl,Aizawl,"INDUSTRIAL ESTATE, ZUANGTUI,",500498,23.172558,92.933371,Government,NIELIT,Approved,Approved,A+,Yes,,Tier 2,http://www.nationalelectronicsinformation.ac.in,info@nationalelectronicsinformation.ac.in,admissions@nationalelectronicsinformation.ac.in,placement@nationalelectronicsinformation.ac.in,+91-80-176-8420,Computer Science Engineering (CSE),Diploma,30,150,2015,Rural,Yes,Yes
1-44640208661,1-44640208661,U-0785,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY (NIELIT), AIZAWL CENTRE",Active,Mizoram,Aizawl,Aizawl,"INDUSTRIAL ESTATE, ZUANGTUI,",500498,23.172558,92.933371,Government,NIELIT,Approved,Approved,A+,Yes,,Tier 2,http://www.nationalelectronicsinformation.ac.in,info@nationalelectronicsinformation.ac.in,admissions@nationalelectronicsinformation.ac.in,placement@nationalelectronicsinformation.ac.in,+91-80-176-8420,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,150,2015,Rural,Yes,Yes
1-44640208661,1-44640208661,U-0785,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY (NIELIT), AIZAWL CENTRE",Active,Mizoram,Aizawl,Aizawl,"INDUSTRIAL ESTATE, ZUANGTUI,",500498,23.172558,92.933371,Government,NIELIT,Approved,Approved,A+,Yes,,Tier 2,http://www.nationalelectronicsinformation.ac.in,info@nationalelectronicsinformation.ac.in,admissions@nationalelectronicsinformation.ac.in,placement@nationalelectronicsinformation.ac.in,+91-80-176-8420,IoT,B.Tech,30,150,2015,Rural,Yes,Yes
1-44640208661,1-44640208661,U-0785,"NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY (NIELIT), AIZAWL CENTRE",Active,Mizoram,Aizawl,Aizawl,"INDUSTRIAL ESTATE, ZUANGTUI,",500498,23.172558,92.933371,Government,NIELIT,Approved,Approved,A+,Yes,,Tier 2,http://www.nationalelectronicsinformation.ac.in,info@nationalelectronicsinformation.ac.in,admissions@nationalelectronicsinformation.ac.in,placement@nationalelectronicsinformation.ac.in,+91-80-176-8420,Artificial Intelligence & Machine Learning (AI & ML),M.Tech,30,150,2015,Rural,Yes,Yes
1-44641009290,1-44641009290,U-0294,"WOMEN'S POLYTECHNIC, AIZAWL",Active,Mizoram,Aizawl,Aizawl,"DURTLANG,  AIZAWL, MIZORAM",500498,23.183385,92.944617,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.aizawl.ac.in,info@aizawl.ac.in,admissions@aizawl.ac.in,placement@aizawl.ac.in,+91-80-630-9676,Other Engineering Branches,Diploma,30,60,2005,Urban,No,No
1-44641009290,1-44641009290,U-0294,"WOMEN'S POLYTECHNIC, AIZAWL",Active,Mizoram,Aizawl,Aizawl,"DURTLANG,  AIZAWL, MIZORAM",500498,23.183385,92.944617,Government,Directorate of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.aizawl.ac.in,info@aizawl.ac.in,admissions@aizawl.ac.in,placement@aizawl.ac.in,+91-80-630-9676,Electronics & Communication Engineering (ECE),Diploma,30,60,2005,Urban,No,No
