College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638800819,1-44638800819,U-0662,SIKKIM INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Sikkim,East Sikkim,East Sikkim,"CHISOPANI, SOUTH SIKKIM",500225,27.537563,88.497069,Government,"Sikkim University, Gangtok",Approved,Approved,B,No,,Tier 3,http://www.sikkimscience.ac.in,info@sikkimscience.ac.in,admissions@sikkimscience.ac.in,placement@sikkimscience.ac.in,+91-80-030-2495,Civil Engineering,B.Tech,40,80,2001,Urban,No,Yes
1-44638800819,1-44638800819,U-0662,SIKKIM INSTITUTE OF SCIENCE AND TECHNOLOGY,Active,Sikkim,East Sikkim,East Sikkim,"CHISOPANI, SOUTH SIKKIM",500225,27.537563,88.497069,Government,"Sikkim University, Gangtok",Approved,Approved,B,No,,Tier 3,http://www.sikkimscience.ac.in,info@sikkimscience.ac.in,admissions@sikkimscience.ac.in,placement@sikkimscience.ac.in,+91-80-030-2495,Computer Science Engineering (CSE),B.Tech,40,80,2001,Urban,No,Yes
1-44639358389,1-44639358389,U-0093,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY (CCCT),Active,Sikkim,South Sikkim,South Sikkim,"CHISOPANI, PO NANDUGAON, SOUTH SIKKIM",500565,27.524549,88.505235,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,B,No,,Tier 3,http://www.centrecomputerscommunication.ac.in,info@centrecomputerscommunication.ac.in,admissions@centrecomputerscommunication.ac.in,placement@centrecomputerscommunication.ac.in,+91-80-484-4115,Civil Engineering,Diploma,30,255,2001,Rural,Yes,Yes
1-44639358389,1-44639358389,U-0093,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY (CCCT),Active,Sikkim,South Sikkim,South Sikkim,"CHISOPANI, PO NANDUGAON, SOUTH SIKKIM",500565,27.524549,88.505235,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,B,No,,Tier 3,http://www.centrecomputerscommunication.ac.in,info@centrecomputerscommunication.ac.in,admissions@centrecomputerscommunication.ac.in,placement@centrecomputerscommunication.ac.in,+91-80-484-4115,Electronics & Communication Engineering (ECE),Diploma,45,255,2001,Rural,Yes,Yes
1-44639358389,1-44639358389,U-0093,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY (CCCT),Active,Sikkim,South Sikkim,South Sikkim,"CHISOPANI, PO NANDUGAON, SOUTH SIKKIM",500565,27.524549,88.505235,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,B,No,,Tier 3,http://www.centrecomputerscommunication.ac.in,info@centrecomputerscommunication.ac.in,admissions@centrecomputerscommunication.ac.in,placement@centrecomputerscommunication.ac.in,+91-80-484-4115,Computer Science Engineering (CSE),Diploma,60,255,2001,Rural,Yes,Yes
1-44639358389,1-44639358389,U-0093,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY (CCCT),Active,Sikkim,South Sikkim,South Sikkim,"CHISOPANI, PO NANDUGAON, SOUTH SIKKIM",500565,27.524549,88.505235,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,B,No,,Tier 3,http://www.centrecomputerscommunication.ac.in,info@centrecomputerscommunication.ac.in,admissions@centrecomputerscommunication.ac.in,placement@centrecomputerscommunication.ac.in,+91-80-484-4115,Electrical & Electronics Engineering (EEE),Diploma,60,255,2001,Rural,Yes,Yes
1-44639358389,1-44639358389,U-0093,CENTRE FOR COMPUTERS AND COMMUNICATION TECHNOLOGY (CCCT),Active,Sikkim,South Sikkim,South Sikkim,"CHISOPANI, PO NANDUGAON, SOUTH SIKKIM",500565,27.524549,88.505235,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,B,No,,Tier 3,http://www.centrecomputerscommunication.ac.in,info@centrecomputerscommunication.ac.in,admissions@centrecomputerscommunication.ac.in,placement@centrecomputerscommunication.ac.in,+91-80-484-4115,Mechanical Engineering,Diploma,60,255,2001,Rural,Yes,Yes
1-44641026764,1-44641026764,U-0093,ADVANCED TECHNICAL TRAINING CENTRE,Active,Sikkim,East Sikkim,East Sikkim,"NH 31A,BARDANG",500225,27.545663,88.504288,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,A,No,,Tier 2,http://www.advancedtechnicaltraining.ac.in,info@advancedtechnicaltraining.ac.in,admissions@advancedtechnicaltraining.ac.in,placement@advancedtechnicaltraining.ac.in,+91-80-369-9917,Computer Science Engineering (CSE),Diploma,45,270,2013,Urban,Yes,Yes
1-44641026764,1-44641026764,U-0093,ADVANCED TECHNICAL TRAINING CENTRE,Active,Sikkim,East Sikkim,East Sikkim,"NH 31A,BARDANG",500225,27.545663,88.504288,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,A,No,,Tier 2,http://www.advancedtechnicaltraining.ac.in,info@advancedtechnicaltraining.ac.in,admissions@advancedtechnicaltraining.ac.in,placement@advancedtechnicaltraining.ac.in,+91-80-369-9917,Mechanical Engineering,Diploma,120,270,2013,Urban,Yes,Yes
1-44641026764,1-44641026764,U-0093,ADVANCED TECHNICAL TRAINING CENTRE,Active,Sikkim,East Sikkim,East Sikkim,"NH 31A,BARDANG",500225,27.545663,88.504288,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,A,No,,Tier 2,http://www.advancedtechnicaltraining.ac.in,info@advancedtechnicaltraining.ac.in,admissions@advancedtechnicaltraining.ac.in,placement@advancedtechnicaltraining.ac.in,+91-80-369-9917,Other Engineering Branches,Diploma,45,270,2013,Urban,Yes,Yes
1-44641026764,1-44641026764,U-0093,ADVANCED TECHNICAL TRAINING CENTRE,Active,Sikkim,East Sikkim,East Sikkim,"NH 31A,BARDANG",500225,27.545663,88.504288,Government,"Directorate of Technical Education, Sikkim",Approved,Approved,A,No,,Tier 2,http://www.advancedtechnicaltraining.ac.in,info@advancedtechnicaltraining.ac.in,admissions@advancedtechnicaltraining.ac.in,placement@advancedtechnicaltraining.ac.in,+91-80-369-9917,Civil Engineering,Diploma,60,270,2013,Urban,Yes,Yes
