College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Mechanical Engineering,B.Tech,30,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Electronics & Communication Engineering (ECE),B.Tech,30,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Computer Science Engineering (CSE),B.Tech,60,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Civil Engineering,B.Tech,30,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Electrical & Electronics Engineering (EEE),B.Tech,30,180,2008,Rural,Yes,Yes
1-44638483233,1-44638483233,U-0449,GOVERNMENT POLYTECHNIC KIRTHAL CHAPRAULI BAGPHAT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC,KIRTHAL,CHAPRAULI,TEHSIL- BARAUT, DISTRICT-BAGHPAT UP 250617",250617,26.860855,80.933079,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kirthalchapraulibagphat.ac.in,info@kirthalchapraulibagphat.ac.in,admissions@kirthalchapraulibagphat.ac.in,placement@kirthalchapraulibagphat.ac.in,+91-80-432-5292,Mechanical Engineering,Diploma,60,180,1994,Urban,No,Yes
1-44638483233,1-44638483233,U-0449,GOVERNMENT POLYTECHNIC KIRTHAL CHAPRAULI BAGPHAT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC,KIRTHAL,CHAPRAULI,TEHSIL- BARAUT, DISTRICT-BAGHPAT UP 250617",250617,26.860855,80.933079,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kirthalchapraulibagphat.ac.in,info@kirthalchapraulibagphat.ac.in,admissions@kirthalchapraulibagphat.ac.in,placement@kirthalchapraulibagphat.ac.in,+91-80-432-5292,Electrical Engineering,Diploma,60,180,1994,Urban,No,Yes
1-44638483233,1-44638483233,U-0449,GOVERNMENT POLYTECHNIC KIRTHAL CHAPRAULI BAGPHAT,Active,Uttar Pradesh,Bagpat,Bagpat,"GOVERNMENT POLYTECHNIC,KIRTHAL,CHAPRAULI,TEHSIL- BARAUT, DISTRICT-BAGHPAT UP 250617",250617,26.860855,80.933079,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.kirthalchapraulibagphat.ac.in,info@kirthalchapraulibagphat.ac.in,admissions@kirthalchapraulibagphat.ac.in,placement@kirthalchapraulibagphat.ac.in,+91-80-432-5292,Other Engineering Branches,Diploma,60,180,1994,Urban,No,Yes
1-44638483733,1-44638483733,U-0449,"M. M. I. T., AURAIYA",Active,Uttar Pradesh,Auraiya,Auraiya,"SEHUD, AURAIYA",201489,26.833391,80.93211,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.mmi.ac.in,info@mmi.ac.in,admissions@mmi.ac.in,placement@mmi.ac.in,+91-80-280-6565,Chemical Engineering,Diploma,60,180,2020,Urban,No,No
1-44638483733,1-44638483733,U-0449,"M. M. I. T., AURAIYA",Active,Uttar Pradesh,Auraiya,Auraiya,"SEHUD, AURAIYA",201489,26.833391,80.93211,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.mmi.ac.in,info@mmi.ac.in,admissions@mmi.ac.in,placement@mmi.ac.in,+91-80-280-6565,Electrical Engineering,Diploma,60,180,2020,Urban,No,No
1-44638483733,1-44638483733,U-0449,"M. M. I. T., AURAIYA",Active,Uttar Pradesh,Auraiya,Auraiya,"SEHUD, AURAIYA",201489,26.833391,80.93211,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.mmi.ac.in,info@mmi.ac.in,admissions@mmi.ac.in,placement@mmi.ac.in,+91-80-280-6565,Other Engineering Branches,Diploma,60,180,2020,Urban,No,No
1-44638484206,1-44638484206,U-0449,GOVERNMENT POLYTECHNIC HINDALPUR,Active,Uttar Pradesh,Ghaziabad,Ghaziabad,"GOVERNMENT POLYTECHNIC, HINDALPUR, DHOLANA, (HAPUR)",201577,28.688094,77.436583,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.hindalpur.ac.in,info@hindalpur.ac.in,admissions@hindalpur.ac.in,placement@hindalpur.ac.in,+91-80-631-3105,Other Engineering Branches,Diploma,120,180,2006,Urban,Yes,Yes
1-44638484206,1-44638484206,U-0449,GOVERNMENT POLYTECHNIC HINDALPUR,Active,Uttar Pradesh,Ghaziabad,Ghaziabad,"GOVERNMENT POLYTECHNIC, HINDALPUR, DHOLANA, (HAPUR)",201577,28.688094,77.436583,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.hindalpur.ac.in,info@hindalpur.ac.in,admissions@hindalpur.ac.in,placement@hindalpur.ac.in,+91-80-631-3105,Electrical Engineering,Diploma,60,180,2006,Urban,Yes,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Civil Engineering,Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Electrical Engineering,Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Mechanical Engineering,Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Computer Science Engineering (CSE),Diploma,60,300,1997,Urban,No,Yes
1-44638424409,1-44638424409,U-0449,VISHVESHWARYA INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,"VILLAGE BEEL AKBARPUR, & TEHSIL DADRI, DISTT. GAUTAM BUDH NAGAR",201386,28.53289,77.408287,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.vishveshwarya.ac.in,info@vishveshwarya.ac.in,admissions@vishveshwarya.ac.in,placement@vishveshwarya.ac.in,+91-80-729-4190,Other Engineering Branches,Diploma,60,300,1997,Urban,No,Yes
1-44638424887,1-44638424887,U-0449,ACCURATE INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,201386,28.543912,77.401196,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.accurate.ac.in,info@accurate.ac.in,admissions@accurate.ac.in,placement@accurate.ac.in,+91-80-191-6737,Mechanical Engineering,Diploma,60,240,2008,Rural,Yes,Yes
1-44638424887,1-44638424887,U-0449,ACCURATE INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,201386,28.543912,77.401196,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.accurate.ac.in,info@accurate.ac.in,admissions@accurate.ac.in,placement@accurate.ac.in,+91-80-191-6737,Electrical Engineering,Diploma,60,240,2008,Rural,Yes,Yes
1-44638424887,1-44638424887,U-0449,ACCURATE INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,PLOT NO 49 KNOWLEDGE PARK-III GREATER NOIDA,201386,28.543912,77.401196,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.accurate.ac.in,info@accurate.ac.in,admissions@accurate.ac.in,placement@accurate.ac.in,+91-80-191-6737,Computer Science Engineering (CSE),Diploma,120,240,2008,Rural,Yes,Yes
1-44638485650,1-44638485650,U-0164,ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),Active,Uttar Pradesh,Lucknow,Lucknow,"ISABELLA THOBURN COLLEGE SOCIETY, 7, FAIZABAD ROAD, LUCKNOW",201700,26.848608,80.935239,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.isabellathoburnprofessional.ac.in,info@isabellathoburnprofessional.ac.in,admissions@isabellathoburnprofessional.ac.in,placement@isabellathoburnprofessional.ac.in,+91-80-918-8921,Data Science,B.Tech,60,240,1987,Rural,Yes,Yes
1-44638485650,1-44638485650,U-0164,ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),Active,Uttar Pradesh,Lucknow,Lucknow,"ISABELLA THOBURN COLLEGE SOCIETY, 7, FAIZABAD ROAD, LUCKNOW",201700,26.848608,80.935239,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.isabellathoburnprofessional.ac.in,info@isabellathoburnprofessional.ac.in,admissions@isabellathoburnprofessional.ac.in,placement@isabellathoburnprofessional.ac.in,+91-80-918-8921,Computer Science Engineering (CSE),B.Tech,120,240,1987,Rural,Yes,Yes
1-44638485650,1-44638485650,U-0164,ISABELLA THOBURN COLLEGE (PROFESSIONAL STUDIES),Active,Uttar Pradesh,Lucknow,Lucknow,"ISABELLA THOBURN COLLEGE SOCIETY, 7, FAIZABAD ROAD, LUCKNOW",201700,26.848608,80.935239,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.isabellathoburnprofessional.ac.in,info@isabellathoburnprofessional.ac.in,admissions@isabellathoburnprofessional.ac.in,placement@isabellathoburnprofessional.ac.in,+91-80-918-8921,Other Engineering Branches,B.Tech,60,240,1987,Rural,Yes,Yes
1-44638486158,1-44638486158,U-0164,AXIS INSTITUTE OF TECHNOLOGY AND MANAGEMENT,Active,Uttar Pradesh,Kanpur,Kanpur,"VILL-HATHIPUR, KANPUR SADAR",201245,26.466943,80.347672,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.axismanagement.ac.in,info@axismanagement.ac.in,admissions@axismanagement.ac.in,placement@axismanagement.ac.in,+91-80-553-7124,Data Science,M.Tech,30,660,1989,Rural,Yes,Yes
