College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638484685,1-44638484685,U-0678,"GOVERNMENT POLYTECHNIC, HINDOLAKHAL",Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,"HINDOLAKHAL, TEHRI GARHWAL",248115,30.082791,79.039114,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.hindolakhal.ac.in,info@hindolakhal.ac.in,admissions@hindolakhal.ac.in,placement@hindolakhal.ac.in,+91-80-509-5806,Mechanical Engineering,Diploma,30,30,2010,Rural,Yes,Yes
1-44638485163,1-44638485163,U-0678,GOVERNMENT POLYTECHNIC PIPLI,Active,Uttarakhand,Uttarkashi,Uttarkashi,GOVERNMENT POLYTECHNIC PIPLI PO THATI DHARARI,248147,30.06054,79.008129,Government,Uttrakhand Board of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.pipli.ac.in,info@pipli.ac.in,admissions@pipli.ac.in,placement@pipli.ac.in,+91-80-576-3128,Electrical Engineering,Diploma,30,30,2011,Urban,Yes,No
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Civil Engineering,B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Mechanical Engineering,B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Computer Science Engineering (CSE),B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,300,1981,Urban,Yes,Yes
1-44638357331,1-44638357331,U-0735,DR. A.P.J. ABDUL KALAM INSTITUTE OF TECHNOLOGY,Active,Uttarakhand,Champawat,Champawat,VILLAGE- AAMBAGH,248070,30.055635,79.016969,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,A,No,,Tier 2,http://www.drapjabdul.ac.in,info@drapjabdul.ac.in,admissions@drapjabdul.ac.in,placement@drapjabdul.ac.in,+91-80-370-5713,Robotics,B.Tech,60,300,1981,Urban,Yes,Yes
1-44638407666,1-44638407666,U-0735,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,248115,30.059771,79.035899,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,B++,Yes,,Tier 3,http://www.narendranagar.ac.in,info@narendranagar.ac.in,admissions@narendranagar.ac.in,placement@narendranagar.ac.in,+91-80-544-0490,Computer Science Engineering (CSE),B.Tech,60,150,2018,Rural,Yes,Yes
1-44638407666,1-44638407666,U-0735,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,248115,30.059771,79.035899,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,B++,Yes,,Tier 3,http://www.narendranagar.ac.in,info@narendranagar.ac.in,admissions@narendranagar.ac.in,placement@narendranagar.ac.in,+91-80-544-0490,Electrical Engineering,B.Tech,30,150,2018,Rural,Yes,Yes
1-44638407666,1-44638407666,U-0735,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,248115,30.059771,79.035899,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,B++,Yes,,Tier 3,http://www.narendranagar.ac.in,info@narendranagar.ac.in,admissions@narendranagar.ac.in,placement@narendranagar.ac.in,+91-80-544-0490,Other Engineering Branches,B.Tech,60,150,2018,Rural,Yes,Yes
1-44638487219,1-44638487219,U-0678,GOVERNMENT POLYTECHNIC PAURI,Active,Uttarakhand,Pauri Garhwal,Pauri Garhwal,CITY-PAURI DISTT.-PAURI GARHWAL STATE-UTTARAKHAND,248927,30.07427,79.009079,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.pauri.ac.in,info@pauri.ac.in,admissions@pauri.ac.in,placement@pauri.ac.in,+91-80-152-1598,Mechanical Engineering,Diploma,60,60,1997,Urban,Yes,Yes
